REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Ethiopia_Model_2019,EXPELC001,ELC001,1,2015,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2016,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2017,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2018,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2019,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2020,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2021,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2022,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2023,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2024,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2025,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2026,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2027,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2028,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2029,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2030,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2031,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2032,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2033,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2034,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2035,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2036,1.0
Ethiopia_Model_2019,EXPELC001,ELC001,1,2037,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2015,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2016,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2017,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2018,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2019,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2020,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2021,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2022,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2023,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2024,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2025,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2026,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2027,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2028,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2029,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2030,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2031,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2032,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2033,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2034,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2035,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2036,1.0
Ethiopia_Model_2019,MINCRU001,CRU,1,2037,1.0
Ethiopia_Model_2019,PWRBIO001,BIO,1,2015,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2016,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2017,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2018,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2019,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2020,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2021,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2022,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2023,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2024,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2025,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2026,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2027,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2028,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2029,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2030,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2031,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2032,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2033,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2034,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2035,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2036,2.86
Ethiopia_Model_2019,PWRBIO001,BIO,1,2037,2.86
Ethiopia_Model_2019,PWRCOA001,COA,1,2015,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2016,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2017,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2018,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2019,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2020,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2021,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2022,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2023,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2024,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2025,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2026,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2027,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2028,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2029,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2030,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2031,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2032,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2033,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2034,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2035,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2036,2.85
Ethiopia_Model_2019,PWRCOA001,COA,1,2037,2.85
Ethiopia_Model_2019,PWRGEO001,HETGEO,1,2015,10.0
Ethiopia_Model_2019,PWRGEO001,HETGEO,1,2016,10.0
Ethiopia_Model_2019,PWRGEO001,HETGEO,1,2017,10.0
Ethiopia_Model_2019,PWRGEO001,HETGEO,1,2018,10.0
Ethiopia_Model_2019,PWRGEO001,HETGEO,1,2019,10.0
Ethiopia_Model_2019,PWRGEO001,HETGEO,1,2020,10.0
Ethiopia_Model_2019,PWRGEO001,HETGEO,1,2021,10.0
