REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Ethiopia_Model_2019,BackStop1,ELCE002,1,2015,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2016,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2017,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2018,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2019,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2020,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2021,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2022,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2023,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2024,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2025,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2026,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2027,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2028,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2029,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2030,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2031,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2032,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2033,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2034,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2035,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2036,1.0
Ethiopia_Model_2019,BackStop1,ELCE002,1,2037,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2015,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2016,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2017,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2018,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2019,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2020,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2021,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2022,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2023,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2024,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2025,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2026,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2027,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2028,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2029,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2030,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2031,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2032,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2033,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2034,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2035,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2036,1.0
Ethiopia_Model_2019,BackStop2,ELCN002,1,2037,1.0
Ethiopia_Model_2019,EXPELC001,ELC,1,2015,1.0
Ethiopia_Model_2019,EXPELC001,ELC,1,2016,1.0
Ethiopia_Model_2019,EXPELC001,ELC,1,2017,1.0
Ethiopia_Model_2019,EXPELC001,ELC,1,2018,1.0
Ethiopia_Model_2019,EXPELC001,ELC,1,2019,1.0
Ethiopia_Model_2019,EXPELC001,ELC,1,2020,1.0
Ethiopia_Model_2019,EXPELC001,ELC,1,2021,1.0
Ethiopia_Model_2019,EXPELC001,ELC,1,2022,1.0
Ethiopia_Model_2019,EXPELC001,ELC,1,2023,1.0
