REGION,TECHNOLOGY,YEAR,VALUE
Ethiopia_Model_2019,PWRHYD001,2015,1.0
Ethiopia_Model_2019,PWRHYD001,2016,1.0
Ethiopia_Model_2019,PWRHYD001,2017,1.0
Ethiopia_Model_2019,PWRHYD001,2018,1.0
Ethiopia_Model_2019,PWRHYD001,2019,1.0
Ethiopia_Model_2019,PWRHYD001,2020,1.0
Ethiopia_Model_2019,PWRHYD001,2021,1.0
Ethiopia_Model_2019,PWRHYD001,2022,1.0
Ethiopia_Model_2019,PWRHYD001,2023,1.0
Ethiopia_Model_2019,PWRHYD001,2024,1.0
Ethiopia_Model_2019,PWRHYD001,2025,1.0
Ethiopia_Model_2019,PWRHYD001,2026,1.0
Ethiopia_Model_2019,PWRHYD001,2027,1.0
Ethiopia_Model_2019,PWRHYD001,2028,1.0
Ethiopia_Model_2019,PWRHYD001,2029,1.0
Ethiopia_Model_2019,PWRHYD001,2030,1.0
Ethiopia_Model_2019,PWRHYD001,2031,1.0
Ethiopia_Model_2019,PWRHYD001,2032,1.0
Ethiopia_Model_2019,PWRHYD001,2033,1.0
Ethiopia_Model_2019,PWRHYD001,2034,1.0
Ethiopia_Model_2019,PWRHYD001,2035,1.0
Ethiopia_Model_2019,PWRHYD001,2036,1.0
Ethiopia_Model_2019,PWRHYD001,2037,1.0
