REGION,TECHNOLOGY,YEAR,VALUE
Ethiopia_Model_2019,GEO,2015,0.8
Ethiopia_Model_2019,GEO,2016,0.8
Ethiopia_Model_2019,GEO,2017,0.8
Ethiopia_Model_2019,GEO,2018,0.8
Ethiopia_Model_2019,GEO,2019,0.8
Ethiopia_Model_2019,GEO,2020,0.8
Ethiopia_Model_2019,GEO,2021,0.8
Ethiopia_Model_2019,GEO,2022,0.8
Ethiopia_Model_2019,GEO,2023,0.8
Ethiopia_Model_2019,GEO,2024,0.8
Ethiopia_Model_2019,GEO,2025,0.8
Ethiopia_Model_2019,GEO,2026,0.8
Ethiopia_Model_2019,GEO,2027,0.8
Ethiopia_Model_2019,GEO,2028,0.8
Ethiopia_Model_2019,GEO,2029,0.8
Ethiopia_Model_2019,GEO,2030,0.8
Ethiopia_Model_2019,GEO,2031,0.8
Ethiopia_Model_2019,GEO,2032,0.8
Ethiopia_Model_2019,GEO,2033,0.8
Ethiopia_Model_2019,GEO,2034,1.0
Ethiopia_Model_2019,GEO,2035,1.0
Ethiopia_Model_2019,GEO,2036,1.0
Ethiopia_Model_2019,GEO,2037,1.0
Ethiopia_Model_2019,PWRBIO001,2015,0.5
Ethiopia_Model_2019,PWRBIO001,2016,0.5
Ethiopia_Model_2019,PWRBIO001,2017,0.5
Ethiopia_Model_2019,PWRBIO001,2018,0.5
Ethiopia_Model_2019,PWRBIO001,2019,0.5
Ethiopia_Model_2019,PWRBIO001,2020,0.5
Ethiopia_Model_2019,PWRBIO001,2021,0.5
Ethiopia_Model_2019,PWRBIO001,2022,0.5
Ethiopia_Model_2019,PWRBIO001,2023,0.5
Ethiopia_Model_2019,PWRBIO001,2024,0.5
Ethiopia_Model_2019,PWRBIO001,2025,0.5
Ethiopia_Model_2019,PWRBIO001,2026,0.5
Ethiopia_Model_2019,PWRBIO001,2027,0.5
Ethiopia_Model_2019,PWRBIO001,2028,0.5
Ethiopia_Model_2019,PWRBIO001,2029,0.5
Ethiopia_Model_2019,PWRBIO001,2030,0.5
Ethiopia_Model_2019,PWRBIO001,2031,0.5
Ethiopia_Model_2019,PWRBIO001,2032,0.5
Ethiopia_Model_2019,PWRBIO001,2033,0.5
Ethiopia_Model_2019,PWRBIO001,2034,0.5
Ethiopia_Model_2019,PWRBIO001,2035,0.5
Ethiopia_Model_2019,PWRBIO001,2036,0.5
Ethiopia_Model_2019,PWRBIO001,2037,0.5
Ethiopia_Model_2019,PWRCOA001,2015,0.9
Ethiopia_Model_2019,PWRCOA001,2016,0.9
Ethiopia_Model_2019,PWRCOA001,2017,0.9
Ethiopia_Model_2019,PWRCOA001,2018,0.9
Ethiopia_Model_2019,PWRCOA001,2019,0.9
Ethiopia_Model_2019,PWRCOA001,2020,0.9
Ethiopia_Model_2019,PWRCOA001,2021,0.9
Ethiopia_Model_2019,PWRCOA001,2022,0.9
Ethiopia_Model_2019,PWRCOA001,2023,0.9
Ethiopia_Model_2019,PWRCOA001,2024,0.9
Ethiopia_Model_2019,PWRCOA001,2025,0.9
Ethiopia_Model_2019,PWRCOA001,2026,0.9
Ethiopia_Model_2019,PWRCOA001,2027,0.9
Ethiopia_Model_2019,PWRCOA001,2028,0.9
Ethiopia_Model_2019,PWRCOA001,2029,0.9
Ethiopia_Model_2019,PWRCOA001,2030,0.9
Ethiopia_Model_2019,PWRCOA001,2031,0.9
Ethiopia_Model_2019,PWRCOA001,2032,0.9
Ethiopia_Model_2019,PWRCOA001,2033,0.9
Ethiopia_Model_2019,PWRCOA001,2034,0.9
Ethiopia_Model_2019,PWRCOA001,2035,0.9
Ethiopia_Model_2019,PWRCOA001,2036,0.9
Ethiopia_Model_2019,PWRCOA001,2037,0.9
Ethiopia_Model_2019,PWRGEO001,2015,0.8
Ethiopia_Model_2019,PWRGEO001,2016,0.8
Ethiopia_Model_2019,PWRGEO001,2017,0.8
Ethiopia_Model_2019,PWRGEO001,2018,0.8
Ethiopia_Model_2019,PWRGEO001,2019,0.8
Ethiopia_Model_2019,PWRGEO001,2020,0.8
Ethiopia_Model_2019,PWRGEO001,2021,0.8
Ethiopia_Model_2019,PWRGEO001,2022,0.8
Ethiopia_Model_2019,PWRGEO001,2023,0.8
Ethiopia_Model_2019,PWRGEO001,2024,0.8
Ethiopia_Model_2019,PWRGEO001,2025,0.8
Ethiopia_Model_2019,PWRGEO001,2026,0.8
Ethiopia_Model_2019,PWRGEO001,2027,0.8
Ethiopia_Model_2019,PWRGEO001,2028,0.8
Ethiopia_Model_2019,PWRGEO001,2029,0.8
Ethiopia_Model_2019,PWRGEO001,2030,0.8
Ethiopia_Model_2019,PWRGEO001,2031,0.8
Ethiopia_Model_2019,PWRGEO001,2032,0.8
Ethiopia_Model_2019,PWRGEO001,2033,0.8
Ethiopia_Model_2019,PWRGEO001,2034,0.8
Ethiopia_Model_2019,PWRGEO001,2035,0.8
Ethiopia_Model_2019,PWRGEO001,2036,0.8
Ethiopia_Model_2019,PWRGEO001,2037,0.8
Ethiopia_Model_2019,PWRHFO001,2015,0.8
Ethiopia_Model_2019,PWRHFO001,2016,0.8
Ethiopia_Model_2019,PWRHFO001,2017,0.8
Ethiopia_Model_2019,PWRHFO001,2018,0.8
Ethiopia_Model_2019,PWRHFO001,2019,0.8
Ethiopia_Model_2019,PWRHFO001,2020,0.8
Ethiopia_Model_2019,PWRHFO001,2021,0.8
Ethiopia_Model_2019,PWRHFO001,2022,0.8
Ethiopia_Model_2019,PWRHFO001,2023,0.8
Ethiopia_Model_2019,PWRHFO001,2024,0.8
Ethiopia_Model_2019,PWRHFO001,2025,0.8
Ethiopia_Model_2019,PWRHFO001,2026,0.8
Ethiopia_Model_2019,PWRHFO001,2027,0.8
Ethiopia_Model_2019,PWRHFO001,2028,0.8
Ethiopia_Model_2019,PWRHFO001,2029,0.8
Ethiopia_Model_2019,PWRHFO001,2030,0.8
Ethiopia_Model_2019,PWRHFO001,2031,0.8
