REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
Ethiopia_Model_2019,IMPCOA,CO2,1,2015,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2016,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2017,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2018,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2019,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2020,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2021,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2022,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2023,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2024,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2025,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2026,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2027,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2028,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2029,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2030,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2031,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2032,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2033,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2034,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2035,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2036,0.090535492
Ethiopia_Model_2019,IMPCOA,CO2,1,2037,0.090535492
Ethiopia_Model_2019,IMPCRU001,CO2,1,2015,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2016,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2017,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2018,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2019,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2020,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2021,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2022,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2023,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2024,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2025,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2026,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2027,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2028,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2029,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2030,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2031,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2032,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2033,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2034,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2035,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2036,0.070077807
Ethiopia_Model_2019,IMPCRU001,CO2,1,2037,0.070077807
Ethiopia_Model_2019,MINCOA,CO2,1,2015,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2016,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2017,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2018,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2019,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2020,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2021,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2022,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2023,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2024,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2025,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2026,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2027,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2028,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2029,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2030,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2031,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2032,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2033,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2034,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2035,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2036,0.090535492
Ethiopia_Model_2019,MINCOA,CO2,1,2037,0.090535492
Ethiopia_Model_2019,MINCRU001,CO2,1,2015,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2016,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2017,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2018,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2019,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2020,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2021,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2022,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2023,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2024,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2025,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2026,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2027,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2028,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2029,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2030,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2031,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2032,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2033,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2034,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2035,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2036,0.070077807
Ethiopia_Model_2019,MINCRU001,CO2,1,2037,0.070077807
Ethiopia_Model_2019,MINNGS,CO2,1,2015,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2016,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2017,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2018,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2019,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2020,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2021,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2022,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2023,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2024,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2025,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2026,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2027,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2028,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2029,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2030,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2031,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2032,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2033,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2034,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2035,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2036,0.050291177
Ethiopia_Model_2019,MINNGS,CO2,1,2037,0.050291177
