REGION,TECHNOLOGY,YEAR,VALUE
Ethiopia_Model_2019,IMPCOA,2015,19.82282118
Ethiopia_Model_2019,IMPCOA,2016,19.82282118
Ethiopia_Model_2019,IMPCOA,2017,20.2192776
Ethiopia_Model_2019,IMPCOA,2018,20.62366316
Ethiopia_Model_2019,IMPCOA,2019,21.03613642
Ethiopia_Model_2019,IMPCOA,2020,21.45685915
Ethiopia_Model_2019,IMPCOA,2021,21.88599633
Ethiopia_Model_2019,IMPCOA,2022,22.32371626
Ethiopia_Model_2019,IMPCOA,2023,22.77019058
Ethiopia_Model_2019,IMPCOA,2024,23.22559439
Ethiopia_Model_2019,IMPCOA,2025,23.69010628
Ethiopia_Model_2019,IMPCOA,2026,24.16390841
Ethiopia_Model_2019,IMPCOA,2027,24.64718658
Ethiopia_Model_2019,IMPCOA,2028,25.14013031
Ethiopia_Model_2019,IMPCOA,2029,25.64293291
Ethiopia_Model_2019,IMPCOA,2030,26.15579157
Ethiopia_Model_2019,IMPCOA,2031,26.6789074
Ethiopia_Model_2019,IMPCOA,2032,27.21248555
Ethiopia_Model_2019,IMPCOA,2033,27.75673526
Ethiopia_Model_2019,IMPCOA,2034,28.31186997
Ethiopia_Model_2019,IMPCOA,2035,28.87810737
Ethiopia_Model_2019,IMPCOA,2036,29.45566951
Ethiopia_Model_2019,IMPCOA,2037,30.0447829
