REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Ethiopia_Model_2019,BackStop1,1,2015,99999.0
Ethiopia_Model_2019,BackStop1,1,2016,99999.0
Ethiopia_Model_2019,BackStop1,1,2017,99999.0
Ethiopia_Model_2019,BackStop1,1,2018,99999.0
Ethiopia_Model_2019,BackStop1,1,2019,99999.0
Ethiopia_Model_2019,BackStop1,1,2020,99999.0
Ethiopia_Model_2019,BackStop1,1,2021,99999.0
Ethiopia_Model_2019,BackStop1,1,2022,99999.0
Ethiopia_Model_2019,BackStop1,1,2023,99999.0
Ethiopia_Model_2019,BackStop1,1,2024,99999.0
Ethiopia_Model_2019,BackStop1,1,2025,99999.0
Ethiopia_Model_2019,BackStop1,1,2026,99999.0
Ethiopia_Model_2019,BackStop1,1,2027,99999.0
Ethiopia_Model_2019,BackStop1,1,2028,99999.0
Ethiopia_Model_2019,BackStop1,1,2029,99999.0
Ethiopia_Model_2019,BackStop1,1,2030,99999.0
Ethiopia_Model_2019,BackStop1,1,2031,99999.0
Ethiopia_Model_2019,BackStop1,1,2032,99999.0
Ethiopia_Model_2019,BackStop1,1,2033,99999.0
Ethiopia_Model_2019,BackStop1,1,2034,99999.0
Ethiopia_Model_2019,BackStop1,1,2035,99999.0
Ethiopia_Model_2019,BackStop1,1,2036,99999.0
Ethiopia_Model_2019,BackStop1,1,2037,99999.0
Ethiopia_Model_2019,BackStop2,1,2015,99999.0
Ethiopia_Model_2019,BackStop2,1,2016,99999.0
Ethiopia_Model_2019,BackStop2,1,2017,99999.0
Ethiopia_Model_2019,BackStop2,1,2018,99999.0
Ethiopia_Model_2019,BackStop2,1,2019,99999.0
Ethiopia_Model_2019,BackStop2,1,2020,99999.0
Ethiopia_Model_2019,BackStop2,1,2021,99999.0
Ethiopia_Model_2019,BackStop2,1,2022,99999.0
Ethiopia_Model_2019,BackStop2,1,2023,99999.0
Ethiopia_Model_2019,BackStop2,1,2024,99999.0
Ethiopia_Model_2019,BackStop2,1,2025,99999.0
Ethiopia_Model_2019,BackStop2,1,2026,99999.0
Ethiopia_Model_2019,BackStop2,1,2027,99999.0
Ethiopia_Model_2019,BackStop2,1,2028,99999.0
Ethiopia_Model_2019,BackStop2,1,2029,99999.0
Ethiopia_Model_2019,BackStop2,1,2030,99999.0
Ethiopia_Model_2019,BackStop2,1,2031,99999.0
Ethiopia_Model_2019,BackStop2,1,2032,99999.0
Ethiopia_Model_2019,BackStop2,1,2033,99999.0
Ethiopia_Model_2019,BackStop2,1,2034,99999.0
Ethiopia_Model_2019,BackStop2,1,2035,99999.0
Ethiopia_Model_2019,BackStop2,1,2036,99999.0
Ethiopia_Model_2019,BackStop2,1,2037,99999.0
Ethiopia_Model_2019,EXPELC001,1,2015,-19.0
Ethiopia_Model_2019,EXPELC001,1,2016,-19.0
Ethiopia_Model_2019,EXPELC001,1,2017,-19.0
Ethiopia_Model_2019,EXPELC001,1,2018,-19.0
Ethiopia_Model_2019,EXPELC001,1,2019,-19.0
Ethiopia_Model_2019,EXPELC001,1,2020,-19.0
Ethiopia_Model_2019,EXPELC001,1,2021,-19.0
Ethiopia_Model_2019,EXPELC001,1,2022,-19.0
Ethiopia_Model_2019,EXPELC001,1,2023,-19.0
Ethiopia_Model_2019,EXPELC001,1,2024,-19.0
Ethiopia_Model_2019,EXPELC001,1,2025,-19.0
Ethiopia_Model_2019,EXPELC001,1,2026,-19.0
Ethiopia_Model_2019,EXPELC001,1,2027,-19.0
Ethiopia_Model_2019,EXPELC001,1,2028,-19.0
Ethiopia_Model_2019,EXPELC001,1,2029,-19.0
Ethiopia_Model_2019,EXPELC001,1,2030,-19.0
Ethiopia_Model_2019,EXPELC001,1,2031,-19.0
Ethiopia_Model_2019,EXPELC001,1,2032,-19.0
Ethiopia_Model_2019,EXPELC001,1,2033,-19.0
Ethiopia_Model_2019,EXPELC001,1,2034,-19.0
Ethiopia_Model_2019,EXPELC001,1,2035,-19.0
Ethiopia_Model_2019,EXPELC001,1,2036,-19.0
Ethiopia_Model_2019,EXPELC001,1,2037,-19.0
Ethiopia_Model_2019,MINCOA,1,2015,0.049561873
Ethiopia_Model_2019,MINCOA,1,2016,0.049561873
Ethiopia_Model_2019,MINCOA,1,2017,0.049561873
Ethiopia_Model_2019,MINCOA,1,2018,0.049561873
Ethiopia_Model_2019,MINCOA,1,2019,0.049561873
Ethiopia_Model_2019,MINCOA,1,2020,0.049561873
Ethiopia_Model_2019,MINCOA,1,2021,0.049561873
Ethiopia_Model_2019,MINCOA,1,2022,0.049561873
Ethiopia_Model_2019,MINCOA,1,2023,0.049561873
Ethiopia_Model_2019,MINCOA,1,2024,0.049561873
Ethiopia_Model_2019,MINCOA,1,2025,0.049561873
Ethiopia_Model_2019,MINCOA,1,2026,0.049561873
Ethiopia_Model_2019,MINCOA,1,2027,0.049561873
Ethiopia_Model_2019,MINCOA,1,2028,0.049561873
Ethiopia_Model_2019,MINCOA,1,2029,0.049561873
Ethiopia_Model_2019,MINCOA,1,2030,0.049561873
Ethiopia_Model_2019,MINCOA,1,2031,0.049561873
Ethiopia_Model_2019,MINCOA,1,2032,0.049561873
Ethiopia_Model_2019,MINCOA,1,2033,0.049561873
Ethiopia_Model_2019,MINCOA,1,2034,0.049561873
Ethiopia_Model_2019,MINCOA,1,2035,0.049561873
Ethiopia_Model_2019,MINCOA,1,2036,0.049561873
Ethiopia_Model_2019,MINCOA,1,2037,0.049561873
