REGION,FUEL,TIMESLICE,YEAR,VALUE
Ethiopia_Model_2019,ELCE002,Au_D,2015,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2016,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2017,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2018,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2019,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2020,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2021,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2022,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2023,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2024,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2025,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2026,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2027,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2028,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2029,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2030,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2031,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2032,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2033,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2034,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2035,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2036,0.13
Ethiopia_Model_2019,ELCE002,Au_D,2037,0.13
Ethiopia_Model_2019,ELCE002,Au_N,2015,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2016,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2017,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2018,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2019,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2020,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2021,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2022,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2023,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2024,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2025,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2026,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2027,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2028,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2029,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2030,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2031,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2032,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2033,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2034,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2035,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2036,0.09
Ethiopia_Model_2019,ELCE002,Au_N,2037,0.09
Ethiopia_Model_2019,ELCE002,Au_P,2015,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2016,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2017,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2018,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2019,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2020,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2021,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2022,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2023,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2024,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2025,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2026,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2027,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2028,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2029,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2030,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2031,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2032,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2033,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2034,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2035,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2036,0.03
Ethiopia_Model_2019,ELCE002,Au_P,2037,0.03
Ethiopia_Model_2019,ELCE002,Sp_D,2015,0.18
Ethiopia_Model_2019,ELCE002,Sp_D,2016,0.18
