REGION,TECHNOLOGY,YEAR,VALUE
Ethiopia_Model_2019,PWRGEO001,2015,0.0
Ethiopia_Model_2019,PWRGEO001,2016,0.0
Ethiopia_Model_2019,PWRGEO001,2017,0.0
Ethiopia_Model_2019,PWRGEO001,2018,0.0
Ethiopia_Model_2019,PWRGEO001,2019,0.0
Ethiopia_Model_2019,PWRGEO001,2020,0.02
Ethiopia_Model_2019,PWRGEO001,2021,0.05
Ethiopia_Model_2019,PWRGEO001,2022,0.1
Ethiopia_Model_2019,PWRGEO001,2023,0.27
Ethiopia_Model_2019,PWRGEO001,2024,0.2
Ethiopia_Model_2019,PWRGEO001,2025,0.25
Ethiopia_Model_2019,PWRGEO001,2026,0.2
Ethiopia_Model_2019,PWRGEO001,2027,0.16
Ethiopia_Model_2019,PWRGEO001,2028,0.16
Ethiopia_Model_2019,PWRGEO001,2029,0.16
Ethiopia_Model_2019,PWRGEO001,2030,0.16
Ethiopia_Model_2019,PWRGEO001,2031,0.16
Ethiopia_Model_2019,PWRGEO001,2032,0.16
Ethiopia_Model_2019,PWRGEO001,2033,0.16
Ethiopia_Model_2019,PWRGEO001,2034,0.16
Ethiopia_Model_2019,PWRGEO001,2035,0.16
Ethiopia_Model_2019,PWRGEO001,2036,0.16
Ethiopia_Model_2019,PWRGEO001,2037,0.16
