REGION,FUEL,YEAR,VALUE
Region,EL_Industry,2015,0.632772
Region,EL_Industry,2016,0.682128216
Region,EL_Industry,2017,0.735334217
Region,EL_Industry,2018,0.792690286
Region,EL_Industry,2019,0.854520128
Region,EL_Industry,2020,0.921172698
Region,EL_Industry,2021,0.993024168
Region,EL_Industry,2022,1.070480054
Region,EL_Industry,2023,1.153977498
Region,EL_Industry,2024,1.243987743
Region,EL_Industry,2025,1.341018787
Region,EL_Industry,2026,1.445618252
Region,EL_Industry,2027,1.558376476
Region,EL_Industry,2028,1.679929841
Region,EL_Industry,2029,1.810964368
Region,EL_Industry,2030,1.952219589
Region,EL_Industry,2031,2.104492717
Region,EL_Industry,2032,2.268643149
Region,EL_Industry,2033,2.445597314
Region,EL_Industry,2034,2.636353905
Region,EL_Industry,2035,2.84198951
Region,EL_Industry,2036,3.063664691
Region,EL_Industry,2037,3.302630537
Region,EL_Industry,2038,3.560235719
Region,EL_Industry,2039,3.837934105
Region,EL_Industry,2040,4.137292965
Region,EL_Industry,2041,4.460001817
Region,EL_Industry,2042,4.807881958
Region,EL_Industry,2043,5.182896751
Region,EL_Industry,2044,5.587162698
Region,EL_Industry,2045,6.022961388
Region,EL_Industry,2046,6.492752376
Region,EL_Industry,2047,6.999187062
Region,EL_Industry,2048,7.545123653
Region,EL_Industry,2049,8.133643298
Region,EL_Industry,2050,8.768067475
Region,EL_Industry,2051,9.451976738
Region,EL_Industry,2052,10.18923092
Region,EL_Industry,2053,10.98399094
Region,EL_Industry,2054,11.84074223
Region,EL_Industry,2055,12.76432012
Region,EL_Industry,2056,13.75993709
Region,EL_Industry,2057,14.83321218
Region,EL_Industry,2058,15.99020274
Region,EL_Industry,2059,17.23743855
Region,EL_Industry,2060,18.58195876
Region,EL_Industry,2061,20.03135154
Region,EL_Industry,2062,21.59379696
Region,EL_Industry,2063,23.27811312
Region,EL_Industry,2064,25.09380594
Region,EL_Industry,2065,27.05112281
Region,EL_Rural,2015,0.0020644
Region,EL_Rural,2016,0.020077259
Region,EL_Rural,2017,0.038090119
Region,EL_Rural,2018,0.056102978
Region,EL_Rural,2019,0.074115838
Region,EL_Rural,2020,0.092128697
Region,EL_Rural,2021,0.169247835
Region,EL_Rural,2022,0.246366972
Region,EL_Rural,2023,0.323486109
Region,EL_Rural,2024,0.400605246
Region,EL_Rural,2025,0.477724383
Region,EL_Rural,2026,0.55484352
Region,EL_Rural,2027,0.631962657
Region,EL_Rural,2028,0.709081795
Region,EL_Rural,2029,0.786200932
Region,EL_Rural,2030,0.863320069
Region,EL_Rural,2031,1.029932952
Region,EL_Rural,2032,1.196545836
Region,EL_Rural,2033,1.36315872
Region,EL_Rural,2034,1.529771603
Region,EL_Rural,2035,1.696384487
Region,EL_Rural,2036,1.862997371
Region,EL_Rural,2037,2.029610254
Region,EL_Rural,2038,2.196223138
Region,EL_Rural,2039,2.362836021
Region,EL_Rural,2040,2.529448905
Region,EL_Rural,2041,2.696061789
Region,EL_Rural,2042,2.862674672
Region,EL_Rural,2043,3.029287556
Region,EL_Rural,2044,3.195900439
Region,EL_Rural,2045,3.362513323
Region,EL_Rural,2046,3.529126207
Region,EL_Rural,2047,3.69573909
Region,EL_Rural,2048,3.862351974
Region,EL_Rural,2049,4.028964858
Region,EL_Rural,2050,4.195577741
Region,EL_Rural,2051,4.362190625
Region,EL_Rural,2052,4.528803508
Region,EL_Rural,2053,4.695416392
Region,EL_Rural,2054,4.862029276
Region,EL_Rural,2055,5.028642159
Region,EL_Rural,2056,5.195255043
Region,EL_Rural,2057,5.361867926
Region,EL_Rural,2058,5.52848081
Region,EL_Rural,2059,5.695093694
Region,EL_Rural,2060,5.861706577
Region,EL_Rural,2061,6.028319461
Region,EL_Rural,2062,6.194932345
Region,EL_Rural,2063,6.361545228
Region,EL_Rural,2064,6.528158112
Region,EL_Rural,2065,6.694770995
Region,EL_Urban,2015,0.3695636
Region,EL_Urban,2016,0.397025435
Region,EL_Urban,2017,0.42448727
Region,EL_Urban,2018,0.451949105
Region,EL_Urban,2019,0.479410939
Region,EL_Urban,2020,0.506872774
Region,EL_Urban,2021,0.674203752
Region,EL_Urban,2022,0.84153473
Region,EL_Urban,2023,1.008865709
Region,EL_Urban,2024,1.176196687
Region,EL_Urban,2025,1.343527665
Region,EL_Urban,2026,1.510858643
Region,EL_Urban,2027,1.678189622
Region,EL_Urban,2028,1.8455206
Region,EL_Urban,2029,2.012851578
Region,EL_Urban,2030,2.180182556
Region,EL_Urban,2031,2.46908054
Region,EL_Urban,2032,2.757978524
Region,EL_Urban,2033,3.046876507
Region,EL_Urban,2034,3.335774491
Region,EL_Urban,2035,3.624672475
Region,EL_Urban,2036,3.913570458
Region,EL_Urban,2037,4.202468442
Region,EL_Urban,2038,4.491366426
Region,EL_Urban,2039,4.780264409
Region,EL_Urban,2040,5.069162393
Region,EL_Urban,2041,5.358060377
Region,EL_Urban,2042,5.646958361
Region,EL_Urban,2043,5.935856344
Region,EL_Urban,2044,6.224754328
Region,EL_Urban,2045,6.513652312
Region,EL_Urban,2046,6.802550295
Region,EL_Urban,2047,7.091448279
Region,EL_Urban,2048,7.380346263
Region,EL_Urban,2049,7.669244246
Region,EL_Urban,2050,7.95814223
Region,EL_Urban,2051,8.247040214
Region,EL_Urban,2052,8.535938197
Region,EL_Urban,2053,8.824836181
Region,EL_Urban,2054,9.113734165
Region,EL_Urban,2055,9.402632149
Region,EL_Urban,2056,9.691530132
Region,EL_Urban,2057,9.980428116
Region,EL_Urban,2058,10.2693261
Region,EL_Urban,2059,10.55822408
Region,EL_Urban,2060,10.84712207
Region,EL_Urban,2061,11.13602005
Region,EL_Urban,2062,11.42491803
Region,EL_Urban,2063,11.71381602
Region,EL_Urban,2064,12.002714
Region,EL_Urban,2065,12.29161199
