REGION,TECHNOLOGY,YEAR,VALUE
SIERRALEONE,BIOGAS_PP,2015,0.015
SIERRALEONE,BIOGAS_PP,2016,0.015
SIERRALEONE,BIOGAS_PP,2017,0.015
SIERRALEONE,BIOGAS_PP,2018,0.015
SIERRALEONE,BIOGAS_PP,2019,0.017
SIERRALEONE,BIOGAS_PP,2020,0.032
SIERRALEONE,BIOGAS_PP,2021,0.041
SIERRALEONE,BIOGAS_PP,2022,0.043
SIERRALEONE,BIOGAS_PP,2023,0.044
SIERRALEONE,BIOGAS_PP,2024,0.05
SIERRALEONE,BIOGAS_PP,2025,0.055
SIERRALEONE,BIOGAS_PP,2026,0.057
SIERRALEONE,BIOGAS_PP,2027,0.061
SIERRALEONE,BIOGAS_PP,2028,0.063
SIERRALEONE,BIOGAS_PP,2029,0.065
SIERRALEONE,BIOGAS_PP,2030,0.068
SIERRALEONE,BIOGAS_PP,2031,0.096833333
SIERRALEONE,BIOGAS_PP,2032,0.125666667
SIERRALEONE,BIOGAS_PP,2033,0.1545
SIERRALEONE,BIOGAS_PP,2034,0.183333333
SIERRALEONE,BIOGAS_PP,2035,0.212166667
SIERRALEONE,BIOGAS_PP,2036,0.241
SIERRALEONE,BIOGAS_PP,2037,0.269833333
SIERRALEONE,BIOGAS_PP,2038,0.298666667
SIERRALEONE,BIOGAS_PP,2039,0.3275
SIERRALEONE,BIOGAS_PP,2040,0.356333333
SIERRALEONE,BIOGAS_PP,2041,0.385166667
SIERRALEONE,BIOGAS_PP,2042,0.414
SIERRALEONE,BIOGAS_PP,2043,0.442833333
SIERRALEONE,BIOGAS_PP,2044,0.471666667
SIERRALEONE,BIOGAS_PP,2045,0.5005
SIERRALEONE,BIOGAS_PP,2046,0.529333333
SIERRALEONE,BIOGAS_PP,2047,0.558166667
SIERRALEONE,BIOGAS_PP,2048,0.587
SIERRALEONE,BIOGAS_PP,2049,0.587
SIERRALEONE,BIOGAS_PP,2050,0.587
SIERRALEONE,HYDRO_PP,2015,0.056
SIERRALEONE,HYDRO_PP,2016,0.056
SIERRALEONE,HYDRO_PP,2017,0.056
SIERRALEONE,HYDRO_PP,2018,0.056
SIERRALEONE,HYDRO_PP,2019,0.056
SIERRALEONE,HYDRO_PP,2020,0.306
SIERRALEONE,HYDRO_PP,2021,0.51
SIERRALEONE,HYDRO_PP,2022,0.643
SIERRALEONE,HYDRO_PP,2023,0.662
SIERRALEONE,HYDRO_PP,2024,0.704
SIERRALEONE,HYDRO_PP,2025,0.793
SIERRALEONE,HYDRO_PP,2026,0.811
SIERRALEONE,HYDRO_PP,2027,0.811
SIERRALEONE,HYDRO_PP,2028,0.811
SIERRALEONE,HYDRO_PP,2029,0.811
SIERRALEONE,HYDRO_PP,2030,0.811
SIERRALEONE,HYDRO_PP,2031,0.811
SIERRALEONE,HYDRO_PP,2032,0.811
SIERRALEONE,HYDRO_PP,2033,0.811
SIERRALEONE,HYDRO_PP,2034,0.811
SIERRALEONE,HYDRO_PP,2035,0.811
SIERRALEONE,HYDRO_PP,2036,0.811
SIERRALEONE,HYDRO_PP,2037,0.811
SIERRALEONE,HYDRO_PP,2038,0.811
SIERRALEONE,HYDRO_PP,2039,0.811
SIERRALEONE,HYDRO_PP,2040,0.811
SIERRALEONE,HYDRO_PP,2041,0.811
SIERRALEONE,HYDRO_PP,2042,0.811
SIERRALEONE,HYDRO_PP,2043,0.811
SIERRALEONE,HYDRO_PP,2044,0.811
SIERRALEONE,HYDRO_PP,2045,0.811
SIERRALEONE,HYDRO_PP,2046,0.811
SIERRALEONE,HYDRO_PP,2047,0.811
SIERRALEONE,HYDRO_PP,2048,0.811
SIERRALEONE,HYDRO_PP,2049,0.811
SIERRALEONE,HYDRO_PP,2050,0.811
SIERRALEONE,SOLPV_PP,2015,999999.0
SIERRALEONE,SOLPV_PP,2016,999999.0
SIERRALEONE,SOLPV_PP,2017,999999.0
SIERRALEONE,SOLPV_PP,2018,999999.0
SIERRALEONE,SOLPV_PP,2019,999999.0
SIERRALEONE,SOLPV_PP,2020,999999.0
SIERRALEONE,SOLPV_PP,2021,999999.0
SIERRALEONE,SOLPV_PP,2022,999999.0
SIERRALEONE,SOLPV_PP,2023,999999.0
SIERRALEONE,SOLPV_PP,2024,999999.0
SIERRALEONE,SOLPV_PP,2025,999999.0
SIERRALEONE,SOLPV_PP,2026,999999.0
SIERRALEONE,SOLPV_PP,2027,999999.0
SIERRALEONE,SOLPV_PP,2028,999999.0
SIERRALEONE,SOLPV_PP,2029,999999.0
SIERRALEONE,SOLPV_PP,2030,999999.0
SIERRALEONE,SOLPV_PP,2031,999999.0
SIERRALEONE,SOLPV_PP,2032,999999.0
SIERRALEONE,SOLPV_PP,2033,999999.0
SIERRALEONE,SOLPV_PP,2034,999999.0
SIERRALEONE,SOLPV_PP,2035,999999.0
SIERRALEONE,SOLPV_PP,2036,999999.0
SIERRALEONE,SOLPV_PP,2037,999999.0
SIERRALEONE,SOLPV_PP,2038,999999.0
SIERRALEONE,SOLPV_PP,2039,999999.0
SIERRALEONE,SOLPV_PP,2040,999999.0
SIERRALEONE,SOLPV_PP,2041,999999.0
SIERRALEONE,SOLPV_PP,2042,999999.0
SIERRALEONE,SOLPV_PP,2043,999999.0
SIERRALEONE,SOLPV_PP,2044,999999.0
SIERRALEONE,SOLPV_PP,2045,999999.0
SIERRALEONE,SOLPV_PP,2046,999999.0
SIERRALEONE,SOLPV_PP,2047,999999.0
SIERRALEONE,SOLPV_PP,2048,999999.0
SIERRALEONE,SOLPV_PP,2049,999999.0
SIERRALEONE,SOLPV_PP,2050,999999.0
SIERRALEONE,WIND_PP,2015,0.0
SIERRALEONE,WIND_PP,2016,0.0
SIERRALEONE,WIND_PP,2017,0.0
SIERRALEONE,WIND_PP,2018,0.0
SIERRALEONE,WIND_PP,2019,0.0
SIERRALEONE,WIND_PP,2020,99999.0
SIERRALEONE,WIND_PP,2021,99999.0
SIERRALEONE,WIND_PP,2022,99999.0
SIERRALEONE,WIND_PP,2023,99999.0
SIERRALEONE,WIND_PP,2024,99999.0
SIERRALEONE,WIND_PP,2025,99999.0
SIERRALEONE,WIND_PP,2026,99999.0
SIERRALEONE,WIND_PP,2027,99999.0
SIERRALEONE,WIND_PP,2028,99999.0
SIERRALEONE,WIND_PP,2029,99999.0
SIERRALEONE,WIND_PP,2030,99999.0
SIERRALEONE,WIND_PP,2031,99999.0
SIERRALEONE,WIND_PP,2032,99999.0
SIERRALEONE,WIND_PP,2033,99999.0
SIERRALEONE,WIND_PP,2034,99999.0
SIERRALEONE,WIND_PP,2035,99999.0
SIERRALEONE,WIND_PP,2036,99999.0
SIERRALEONE,WIND_PP,2037,99999.0
SIERRALEONE,WIND_PP,2038,99999.0
SIERRALEONE,WIND_PP,2039,99999.0
SIERRALEONE,WIND_PP,2040,99999.0
SIERRALEONE,WIND_PP,2041,99999.0
SIERRALEONE,WIND_PP,2042,99999.0
SIERRALEONE,WIND_PP,2043,99999.0
SIERRALEONE,WIND_PP,2044,99999.0
SIERRALEONE,WIND_PP,2045,99999.0
SIERRALEONE,WIND_PP,2046,99999.0
SIERRALEONE,WIND_PP,2047,99999.0
SIERRALEONE,WIND_PP,2048,99999.0
SIERRALEONE,WIND_PP,2049,99999.0
SIERRALEONE,WIND_PP,2050,99999.0
