REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
SIERRALEONE,Backstop1,1,2015,999999.0
SIERRALEONE,Backstop1,1,2016,999999.0
SIERRALEONE,Backstop1,1,2017,999999.0
SIERRALEONE,Backstop1,1,2018,999999.0
SIERRALEONE,Backstop1,1,2019,999999.0
SIERRALEONE,Backstop1,1,2020,999999.0
SIERRALEONE,Backstop1,1,2021,999999.0
SIERRALEONE,Backstop1,1,2022,999999.0
SIERRALEONE,Backstop1,1,2023,999999.0
SIERRALEONE,Backstop1,1,2024,999999.0
SIERRALEONE,Backstop1,1,2025,999999.0
SIERRALEONE,Backstop1,1,2026,999999.0
SIERRALEONE,Backstop1,1,2027,999999.0
SIERRALEONE,Backstop1,1,2028,999999.0
SIERRALEONE,Backstop1,1,2029,999999.0
SIERRALEONE,Backstop1,1,2030,999999.0
SIERRALEONE,Backstop1,1,2031,999999.0
SIERRALEONE,Backstop1,1,2032,999999.0
SIERRALEONE,Backstop1,1,2033,999999.0
SIERRALEONE,Backstop1,1,2034,999999.0
SIERRALEONE,Backstop1,1,2035,999999.0
SIERRALEONE,Backstop1,1,2036,999999.0
SIERRALEONE,Backstop1,1,2037,999999.0
SIERRALEONE,Backstop1,1,2038,999999.0
SIERRALEONE,Backstop1,1,2039,999999.0
SIERRALEONE,Backstop1,1,2040,999999.0
SIERRALEONE,Backstop1,1,2041,999999.0
SIERRALEONE,Backstop1,1,2042,999999.0
SIERRALEONE,Backstop1,1,2043,999999.0
SIERRALEONE,Backstop1,1,2044,999999.0
SIERRALEONE,Backstop1,1,2045,999999.0
SIERRALEONE,Backstop1,1,2046,999999.0
SIERRALEONE,Backstop1,1,2047,999999.0
SIERRALEONE,Backstop1,1,2048,999999.0
SIERRALEONE,Backstop1,1,2049,999999.0
SIERRALEONE,Backstop1,1,2050,999999.0
SIERRALEONE,IMP_COAL,1,2015,4.9
SIERRALEONE,IMP_COAL,1,2016,4.94
SIERRALEONE,IMP_COAL,1,2017,4.98
SIERRALEONE,IMP_COAL,1,2018,5.02
SIERRALEONE,IMP_COAL,1,2019,5.06
SIERRALEONE,IMP_COAL,1,2020,5.1
SIERRALEONE,IMP_COAL,1,2021,5.14
SIERRALEONE,IMP_COAL,1,2022,5.18
SIERRALEONE,IMP_COAL,1,2023,5.22
SIERRALEONE,IMP_COAL,1,2024,5.26
SIERRALEONE,IMP_COAL,1,2025,5.3
SIERRALEONE,IMP_COAL,1,2026,5.34
SIERRALEONE,IMP_COAL,1,2027,5.38
SIERRALEONE,IMP_COAL,1,2028,5.42
SIERRALEONE,IMP_COAL,1,2029,5.46
SIERRALEONE,IMP_COAL,1,2030,5.5
SIERRALEONE,IMP_COAL,1,2031,5.54
SIERRALEONE,IMP_COAL,1,2032,5.58
SIERRALEONE,IMP_COAL,1,2033,5.62
SIERRALEONE,IMP_COAL,1,2034,5.66
SIERRALEONE,IMP_COAL,1,2035,5.7
SIERRALEONE,IMP_COAL,1,2036,5.74
SIERRALEONE,IMP_COAL,1,2037,5.78
SIERRALEONE,IMP_COAL,1,2038,5.82
SIERRALEONE,IMP_COAL,1,2039,5.86
SIERRALEONE,IMP_COAL,1,2040,6.1
SIERRALEONE,IMP_COAL,1,2041,6.14
SIERRALEONE,IMP_COAL,1,2042,6.18
SIERRALEONE,IMP_COAL,1,2043,6.22
SIERRALEONE,IMP_COAL,1,2044,6.26
SIERRALEONE,IMP_COAL,1,2045,6.3
SIERRALEONE,IMP_COAL,1,2046,6.34
SIERRALEONE,IMP_COAL,1,2047,6.38
SIERRALEONE,IMP_COAL,1,2048,6.42
SIERRALEONE,IMP_COAL,1,2049,6.46
SIERRALEONE,IMP_COAL,1,2050,6.9
SIERRALEONE,IMP_DIESEL,1,2015,24.1
SIERRALEONE,IMP_DIESEL,1,2016,24.54
SIERRALEONE,IMP_DIESEL,1,2017,24.98
SIERRALEONE,IMP_DIESEL,1,2018,25.42
SIERRALEONE,IMP_DIESEL,1,2019,25.86
SIERRALEONE,IMP_DIESEL,1,2020,26.3
SIERRALEONE,IMP_DIESEL,1,2021,26.63
SIERRALEONE,IMP_DIESEL,1,2022,26.96
SIERRALEONE,IMP_DIESEL,1,2023,27.29
SIERRALEONE,IMP_DIESEL,1,2024,27.62
SIERRALEONE,IMP_DIESEL,1,2025,27.95
SIERRALEONE,IMP_DIESEL,1,2026,28.28
SIERRALEONE,IMP_DIESEL,1,2027,28.61
SIERRALEONE,IMP_DIESEL,1,2028,28.94
SIERRALEONE,IMP_DIESEL,1,2029,29.27
SIERRALEONE,IMP_DIESEL,1,2030,29.6
SIERRALEONE,IMP_DIESEL,1,2031,29.6
SIERRALEONE,IMP_DIESEL,1,2032,29.6
SIERRALEONE,IMP_DIESEL,1,2033,29.6
SIERRALEONE,IMP_DIESEL,1,2034,29.6
SIERRALEONE,IMP_DIESEL,1,2035,29.6
SIERRALEONE,IMP_DIESEL,1,2036,29.6
SIERRALEONE,IMP_DIESEL,1,2037,29.6
SIERRALEONE,IMP_DIESEL,1,2038,29.6
SIERRALEONE,IMP_DIESEL,1,2039,29.6
SIERRALEONE,IMP_DIESEL,1,2040,29.6
SIERRALEONE,IMP_DIESEL,1,2041,29.6
SIERRALEONE,IMP_DIESEL,1,2042,29.6
SIERRALEONE,IMP_DIESEL,1,2043,29.6
SIERRALEONE,IMP_DIESEL,1,2044,29.6
SIERRALEONE,IMP_DIESEL,1,2045,29.6
SIERRALEONE,IMP_DIESEL,1,2046,29.6
SIERRALEONE,IMP_DIESEL,1,2047,29.6
SIERRALEONE,IMP_DIESEL,1,2048,29.6
SIERRALEONE,IMP_DIESEL,1,2049,29.6
SIERRALEONE,IMP_DIESEL,1,2050,29.6
SIERRALEONE,IMP_GAS,1,2015,9.2
SIERRALEONE,IMP_GAS,1,2016,9.1
SIERRALEONE,IMP_GAS,1,2017,9.0
SIERRALEONE,IMP_GAS,1,2018,8.9
SIERRALEONE,IMP_GAS,1,2019,8.8
SIERRALEONE,IMP_GAS,1,2020,8.7
SIERRALEONE,IMP_GAS,1,2021,8.93
SIERRALEONE,IMP_GAS,1,2022,9.16
SIERRALEONE,IMP_GAS,1,2023,9.39
SIERRALEONE,IMP_GAS,1,2024,9.62
SIERRALEONE,IMP_GAS,1,2025,9.85
SIERRALEONE,IMP_GAS,1,2026,10.08
SIERRALEONE,IMP_GAS,1,2027,10.31
SIERRALEONE,IMP_GAS,1,2028,10.54
SIERRALEONE,IMP_GAS,1,2029,10.77
SIERRALEONE,IMP_GAS,1,2030,11.0
SIERRALEONE,IMP_GAS,1,2031,11.1
SIERRALEONE,IMP_GAS,1,2032,11.33
SIERRALEONE,IMP_GAS,1,2033,11.56
SIERRALEONE,IMP_GAS,1,2034,11.79
SIERRALEONE,IMP_GAS,1,2035,12.02
SIERRALEONE,IMP_GAS,1,2036,12.25
SIERRALEONE,IMP_GAS,1,2037,12.48
SIERRALEONE,IMP_GAS,1,2038,12.71
SIERRALEONE,IMP_GAS,1,2039,12.94
SIERRALEONE,IMP_GAS,1,2040,13.0
SIERRALEONE,IMP_GAS,1,2041,13.2
SIERRALEONE,IMP_GAS,1,2042,13.4
SIERRALEONE,IMP_GAS,1,2043,13.6
SIERRALEONE,IMP_GAS,1,2044,13.8
SIERRALEONE,IMP_GAS,1,2045,14.0
SIERRALEONE,IMP_GAS,1,2046,14.2
SIERRALEONE,IMP_GAS,1,2047,14.4
SIERRALEONE,IMP_GAS,1,2048,14.6
SIERRALEONE,IMP_GAS,1,2049,14.8
SIERRALEONE,IMP_GAS,1,2050,15.0
SIERRALEONE,IMP_HFO,1,2015,14.2
SIERRALEONE,IMP_HFO,1,2016,14.46
SIERRALEONE,IMP_HFO,1,2017,14.72
SIERRALEONE,IMP_HFO,1,2018,14.98
SIERRALEONE,IMP_HFO,1,2019,15.24
SIERRALEONE,IMP_HFO,1,2020,15.5
SIERRALEONE,IMP_HFO,1,2021,15.69
SIERRALEONE,IMP_HFO,1,2022,15.88
SIERRALEONE,IMP_HFO,1,2023,16.07
SIERRALEONE,IMP_HFO,1,2024,16.26
SIERRALEONE,IMP_HFO,1,2025,16.45
SIERRALEONE,IMP_HFO,1,2026,16.64
SIERRALEONE,IMP_HFO,1,2027,16.83
SIERRALEONE,IMP_HFO,1,2028,17.02
SIERRALEONE,IMP_HFO,1,2029,17.21
SIERRALEONE,IMP_HFO,1,2030,17.4
SIERRALEONE,IMP_HFO,1,2031,17.4
SIERRALEONE,IMP_HFO,1,2032,17.4
SIERRALEONE,IMP_HFO,1,2033,17.4
SIERRALEONE,IMP_HFO,1,2034,17.4
SIERRALEONE,IMP_HFO,1,2035,17.4
SIERRALEONE,IMP_HFO,1,2036,17.4
SIERRALEONE,IMP_HFO,1,2037,17.4
SIERRALEONE,IMP_HFO,1,2038,17.4
SIERRALEONE,IMP_HFO,1,2039,17.4
SIERRALEONE,IMP_HFO,1,2040,17.4
SIERRALEONE,IMP_HFO,1,2041,17.4
SIERRALEONE,IMP_HFO,1,2042,17.4
SIERRALEONE,IMP_HFO,1,2043,17.4
SIERRALEONE,IMP_HFO,1,2044,17.4
SIERRALEONE,IMP_HFO,1,2045,17.4
SIERRALEONE,IMP_HFO,1,2046,17.4
SIERRALEONE,IMP_HFO,1,2047,17.4
SIERRALEONE,IMP_HFO,1,2048,17.4
SIERRALEONE,IMP_HFO,1,2049,17.4
SIERRALEONE,IMP_HFO,1,2050,17.4
SIERRALEONE,PROD_BIOGAS,1,2015,1.6
SIERRALEONE,PROD_BIOGAS,1,2016,1.6
SIERRALEONE,PROD_BIOGAS,1,2017,1.6
SIERRALEONE,PROD_BIOGAS,1,2018,1.6
SIERRALEONE,PROD_BIOGAS,1,2019,1.6
SIERRALEONE,PROD_BIOGAS,1,2020,1.6
SIERRALEONE,PROD_BIOGAS,1,2021,1.6
SIERRALEONE,PROD_BIOGAS,1,2022,1.6
SIERRALEONE,PROD_BIOGAS,1,2023,1.6
SIERRALEONE,PROD_BIOGAS,1,2024,1.6
SIERRALEONE,PROD_BIOGAS,1,2025,1.6
SIERRALEONE,PROD_BIOGAS,1,2026,1.6
SIERRALEONE,PROD_BIOGAS,1,2027,1.6
SIERRALEONE,PROD_BIOGAS,1,2028,1.6
SIERRALEONE,PROD_BIOGAS,1,2029,1.6
SIERRALEONE,PROD_BIOGAS,1,2030,1.6
SIERRALEONE,PROD_BIOGAS,1,2031,1.6
SIERRALEONE,PROD_BIOGAS,1,2032,1.6
SIERRALEONE,PROD_BIOGAS,1,2033,1.6
SIERRALEONE,PROD_BIOGAS,1,2034,1.6
SIERRALEONE,PROD_BIOGAS,1,2035,1.6
SIERRALEONE,PROD_BIOGAS,1,2036,1.6
SIERRALEONE,PROD_BIOGAS,1,2037,1.6
SIERRALEONE,PROD_BIOGAS,1,2038,1.6
SIERRALEONE,PROD_BIOGAS,1,2039,1.6
SIERRALEONE,PROD_BIOGAS,1,2040,1.6
SIERRALEONE,PROD_BIOGAS,1,2041,1.6
SIERRALEONE,PROD_BIOGAS,1,2042,1.6
SIERRALEONE,PROD_BIOGAS,1,2043,1.6
SIERRALEONE,PROD_BIOGAS,1,2044,1.6
SIERRALEONE,PROD_BIOGAS,1,2045,1.6
SIERRALEONE,PROD_BIOGAS,1,2046,1.6
SIERRALEONE,PROD_BIOGAS,1,2047,1.6
SIERRALEONE,PROD_BIOGAS,1,2048,1.6
SIERRALEONE,PROD_BIOGAS,1,2049,1.6
SIERRALEONE,PROD_BIOGAS,1,2050,1.6
