REGION,TECHNOLOGY,YEAR,VALUE
Region,BACKSTOP,2015,0.0001
Region,BACKSTOP,2016,0.0001
Region,BACKSTOP,2017,0.0001
Region,BACKSTOP,2018,0.0001
Region,BACKSTOP,2019,0.0001
Region,BACKSTOP,2020,0.0001
Region,BACKSTOP,2021,0.0001
Region,BACKSTOP,2022,0.0001
Region,BACKSTOP,2023,0.0001
Region,BACKSTOP,2024,0.0001
Region,BACKSTOP,2025,0.0001
Region,BACKSTOP,2026,0.0001
Region,BACKSTOP,2027,0.0001
Region,BACKSTOP,2028,0.0001
Region,BACKSTOP,2029,0.0001
Region,BACKSTOP,2030,0.0001
Region,BACKSTOP,2031,0.0001
Region,BACKSTOP,2032,0.0001
Region,BACKSTOP,2033,0.0001
Region,BACKSTOP,2034,0.0001
Region,BACKSTOP,2035,0.0001
Region,BACKSTOP,2036,0.0001
Region,BACKSTOP,2037,0.0001
Region,BACKSTOP,2038,0.0001
Region,BACKSTOP,2039,0.0001
Region,BACKSTOP,2040,0.0001
Region,BACKSTOP,2041,0.0001
Region,BACKSTOP,2042,0.0001
Region,BACKSTOP,2043,0.0001
Region,BACKSTOP,2044,0.0001
Region,BACKSTOP,2045,0.0001
Region,BACKSTOP,2046,0.0001
Region,BACKSTOP,2047,0.0001
Region,BACKSTOP,2048,0.0001
Region,BACKSTOP,2049,0.0001
Region,BACKSTOP,2050,0.0001
Region,BACKSTOP,2051,0.0001
Region,BACKSTOP,2052,0.0001
Region,BACKSTOP,2053,0.0001
Region,BACKSTOP,2054,0.0001
Region,BACKSTOP,2055,0.0001
Region,BACKSTOP,2056,0.0001
Region,BACKSTOP,2057,0.0001
Region,BACKSTOP,2058,0.0001
Region,BACKSTOP,2059,0.0001
Region,BACKSTOP,2060,0.0001
Region,BACKSTOP,2061,0.0001
Region,BACKSTOP,2062,0.0001
Region,BACKSTOP,2063,0.0001
Region,BACKSTOP,2064,0.0001
Region,BACKSTOP,2065,0.0001
Region,BIOMASS_1,2015,0.86
Region,BIOMASS_1,2016,0.86
Region,BIOMASS_1,2017,0.86
Region,BIOMASS_1,2018,0.86
Region,BIOMASS_1,2019,0.86
Region,BIOMASS_1,2020,0.86
Region,BIOMASS_1,2021,0.86
Region,BIOMASS_1,2022,0.86
Region,BIOMASS_1,2023,0.86
Region,BIOMASS_1,2024,0.86
Region,BIOMASS_1,2025,0.86
Region,BIOMASS_1,2026,0.86
Region,BIOMASS_1,2027,0.86
Region,BIOMASS_1,2028,0.86
Region,BIOMASS_1,2029,0.86
Region,BIOMASS_1,2030,0.86
Region,BIOMASS_1,2031,0.86
Region,BIOMASS_1,2032,0.86
Region,BIOMASS_1,2033,0.86
Region,BIOMASS_1,2034,0.86
Region,BIOMASS_1,2035,0.86
Region,BIOMASS_1,2036,0.86
Region,BIOMASS_1,2037,0.86
Region,BIOMASS_1,2038,0.86
Region,BIOMASS_1,2039,0.86
Region,BIOMASS_1,2040,0.86
Region,BIOMASS_1,2041,0.86
Region,BIOMASS_1,2042,0.86
Region,BIOMASS_1,2043,0.86
Region,BIOMASS_1,2044,0.86
Region,BIOMASS_1,2045,0.86
Region,BIOMASS_1,2046,0.86
Region,BIOMASS_1,2047,0.86
Region,BIOMASS_1,2048,0.86
Region,BIOMASS_1,2049,0.86
Region,BIOMASS_1,2050,0.86
Region,BIOMASS_1,2051,0.86
Region,BIOMASS_1,2052,0.86
Region,BIOMASS_1,2053,0.86
Region,BIOMASS_1,2054,0.86
Region,BIOMASS_1,2055,0.86
Region,BIOMASS_1,2056,0.86
Region,BIOMASS_1,2057,0.86
Region,BIOMASS_1,2058,0.86
Region,BIOMASS_1,2059,0.86
Region,BIOMASS_1,2060,0.86
Region,BIOMASS_1,2061,0.86
Region,BIOMASS_1,2062,0.86
Region,BIOMASS_1,2063,0.86
Region,BIOMASS_1,2064,0.86
Region,BIOMASS_1,2065,0.86
Region,BIOMASS_2,2015,0.86
Region,BIOMASS_2,2016,0.86
Region,BIOMASS_2,2017,0.86
Region,BIOMASS_2,2018,0.86
Region,BIOMASS_2,2019,0.86
Region,BIOMASS_2,2020,0.86
Region,BIOMASS_2,2021,0.86
Region,BIOMASS_2,2022,0.86
Region,BIOMASS_2,2023,0.86
Region,BIOMASS_2,2024,0.86
Region,BIOMASS_2,2025,0.86
Region,BIOMASS_2,2026,0.86
Region,BIOMASS_2,2027,0.86
Region,BIOMASS_2,2028,0.86
Region,BIOMASS_2,2029,0.86
Region,BIOMASS_2,2030,0.86
Region,BIOMASS_2,2031,0.86
Region,BIOMASS_2,2032,0.86
Region,BIOMASS_2,2033,0.86
Region,BIOMASS_2,2034,0.86
Region,BIOMASS_2,2035,0.86
Region,BIOMASS_2,2036,0.86
Region,BIOMASS_2,2037,0.86
Region,BIOMASS_2,2038,0.86
Region,BIOMASS_2,2039,0.86
Region,BIOMASS_2,2040,0.86
Region,BIOMASS_2,2041,0.86
Region,BIOMASS_2,2042,0.86
Region,BIOMASS_2,2043,0.86
Region,BIOMASS_2,2044,0.86
Region,BIOMASS_2,2045,0.86
Region,BIOMASS_2,2046,0.86
Region,BIOMASS_2,2047,0.86
Region,BIOMASS_2,2048,0.86
Region,BIOMASS_2,2049,0.86
Region,BIOMASS_2,2050,0.86
Region,BIOMASS_2,2051,0.86
Region,BIOMASS_2,2052,0.86
Region,BIOMASS_2,2053,0.86
Region,BIOMASS_2,2054,0.86
Region,BIOMASS_2,2055,0.86
Region,BIOMASS_2,2056,0.86
Region,BIOMASS_2,2057,0.86
Region,BIOMASS_2,2058,0.86
Region,BIOMASS_2,2059,0.86
Region,BIOMASS_2,2060,0.86
Region,BIOMASS_2,2061,0.86
Region,BIOMASS_2,2062,0.86
Region,BIOMASS_2,2063,0.86
Region,BIOMASS_2,2064,0.86
Region,BIOMASS_2,2065,0.86
Region,DIESEL_MAKENI,2015,0.8
Region,DIESEL_MAKENI,2016,0.8
Region,DIESEL_MAKENI,2017,0.8
Region,DIESEL_MAKENI,2018,0.8
Region,DIESEL_MAKENI,2019,0.8
Region,DIESEL_MAKENI,2020,0.8
Region,DIESEL_MAKENI,2021,0.8
Region,DIESEL_MAKENI,2022,0.8
Region,DIESEL_MAKENI,2023,0.8
Region,DIESEL_MAKENI,2024,0.8
Region,DIESEL_MAKENI,2025,0.8
Region,DIESEL_MAKENI,2026,0.8
Region,DIESEL_MAKENI,2027,0.8
Region,DIESEL_MAKENI,2028,0.8
Region,DIESEL_MAKENI,2029,0.8
Region,DIESEL_MAKENI,2030,0.8
Region,DIESEL_MAKENI,2031,0.8
Region,DIESEL_MAKENI,2032,0.8
Region,DIESEL_MAKENI,2033,0.8
Region,DIESEL_MAKENI,2034,0.8
Region,DIESEL_MAKENI,2035,0.8
Region,DIESEL_MAKENI,2036,0.8
Region,DIESEL_MAKENI,2037,0.8
Region,DIESEL_MAKENI,2038,0.8
Region,DIESEL_MAKENI,2039,0.8
Region,DIESEL_MAKENI,2040,0.8
Region,DIESEL_MAKENI,2041,0.8
Region,DIESEL_MAKENI,2042,0.8
Region,DIESEL_MAKENI,2043,0.8
Region,DIESEL_MAKENI,2044,0.8
Region,DIESEL_MAKENI,2045,0.8
Region,DIESEL_MAKENI,2046,0.8
Region,DIESEL_MAKENI,2047,0.8
Region,DIESEL_MAKENI,2048,0.8
Region,DIESEL_MAKENI,2049,0.8
Region,DIESEL_MAKENI,2050,0.8
Region,DIESEL_MAKENI,2051,0.8
Region,DIESEL_MAKENI,2052,0.8
Region,DIESEL_MAKENI,2053,0.8
Region,DIESEL_MAKENI,2054,0.8
Region,DIESEL_MAKENI,2055,0.8
Region,DIESEL_MAKENI,2056,0.8
Region,DIESEL_MAKENI,2057,0.8
Region,DIESEL_MAKENI,2058,0.8
Region,DIESEL_MAKENI,2059,0.8
Region,DIESEL_MAKENI,2060,0.8
Region,DIESEL_MAKENI,2061,0.8
Region,DIESEL_MAKENI,2062,0.8
Region,DIESEL_MAKENI,2063,0.8
Region,DIESEL_MAKENI,2064,0.8
Region,DIESEL_MAKENI,2065,0.8
Region,DIESEL_ODS,2015,0.8
Region,DIESEL_ODS,2016,0.8
Region,DIESEL_ODS,2017,0.8
Region,DIESEL_ODS,2018,0.8
Region,DIESEL_ODS,2019,0.8
Region,DIESEL_ODS,2020,0.8
Region,DIESEL_ODS,2021,0.8
Region,DIESEL_ODS,2022,0.8
Region,DIESEL_ODS,2023,0.8
Region,DIESEL_ODS,2024,0.8
Region,DIESEL_ODS,2025,0.8
Region,DIESEL_ODS,2026,0.8
Region,DIESEL_ODS,2027,0.8
Region,DIESEL_ODS,2028,0.8
Region,DIESEL_ODS,2029,0.8
Region,DIESEL_ODS,2030,0.8
Region,DIESEL_ODS,2031,0.8
Region,DIESEL_ODS,2032,0.8
Region,DIESEL_ODS,2033,0.8
Region,DIESEL_ODS,2034,0.8
Region,DIESEL_ODS,2035,0.8
Region,DIESEL_ODS,2036,0.8
Region,DIESEL_ODS,2037,0.8
Region,DIESEL_ODS,2038,0.8
Region,DIESEL_ODS,2039,0.8
Region,DIESEL_ODS,2040,0.8
Region,DIESEL_ODS,2041,0.8
Region,DIESEL_ODS,2042,0.8
Region,DIESEL_ODS,2043,0.8
Region,DIESEL_ODS,2044,0.8
Region,DIESEL_ODS,2045,0.8
Region,DIESEL_ODS,2046,0.8
Region,DIESEL_ODS,2047,0.8
Region,DIESEL_ODS,2048,0.8
Region,DIESEL_ODS,2049,0.8
Region,DIESEL_ODS,2050,0.8
Region,DIESEL_ODS,2051,0.8
Region,DIESEL_ODS,2052,0.8
Region,DIESEL_ODS,2053,0.8
Region,DIESEL_ODS,2054,0.8
Region,DIESEL_ODS,2055,0.8
Region,DIESEL_ODS,2056,0.8
Region,DIESEL_ODS,2057,0.8
Region,DIESEL_ODS,2058,0.8
Region,DIESEL_ODS,2059,0.8
Region,DIESEL_ODS,2060,0.8
Region,DIESEL_ODS,2061,0.8
Region,DIESEL_ODS,2062,0.8
Region,DIESEL_ODS,2063,0.8
Region,DIESEL_ODS,2064,0.8
Region,DIESEL_ODS,2065,0.8
Region,DIESEL_OHF,2015,0.8
Region,DIESEL_OHF,2016,0.8
Region,DIESEL_OHF,2017,0.8
Region,DIESEL_OHF,2018,0.8
Region,DIESEL_OHF,2019,0.8
Region,DIESEL_OHF,2020,0.8
Region,DIESEL_OHF,2021,0.8
Region,DIESEL_OHF,2022,0.8
Region,DIESEL_OHF,2023,0.8
Region,DIESEL_OHF,2024,0.8
Region,DIESEL_OHF,2025,0.8
Region,DIESEL_OHF,2026,0.8
Region,DIESEL_OHF,2027,0.8
Region,DIESEL_OHF,2028,0.8
Region,DIESEL_OHF,2029,0.8
Region,DIESEL_OHF,2030,0.8
Region,DIESEL_OHF,2031,0.8
Region,DIESEL_OHF,2032,0.8
Region,DIESEL_OHF,2033,0.8
Region,DIESEL_OHF,2034,0.8
Region,DIESEL_OHF,2035,0.8
Region,DIESEL_OHF,2036,0.8
Region,DIESEL_OHF,2037,0.8
Region,DIESEL_OHF,2038,0.8
Region,DIESEL_OHF,2039,0.8
Region,DIESEL_OHF,2040,0.8
Region,DIESEL_OHF,2041,0.8
Region,DIESEL_OHF,2042,0.8
Region,DIESEL_OHF,2043,0.8
Region,DIESEL_OHF,2044,0.8
Region,DIESEL_OHF,2045,0.8
Region,DIESEL_OHF,2046,0.8
Region,DIESEL_OHF,2047,0.8
Region,DIESEL_OHF,2048,0.8
Region,DIESEL_OHF,2049,0.8
Region,DIESEL_OHF,2050,0.8
Region,DIESEL_OHF,2051,0.8
Region,DIESEL_OHF,2052,0.8
Region,DIESEL_OHF,2053,0.8
Region,DIESEL_OHF,2054,0.8
Region,DIESEL_OHF,2055,0.8
Region,DIESEL_OHF,2056,0.8
Region,DIESEL_OHF,2057,0.8
Region,DIESEL_OHF,2058,0.8
Region,DIESEL_OHF,2059,0.8
Region,DIESEL_OHF,2060,0.8
Region,DIESEL_OHF,2061,0.8
Region,DIESEL_OHF,2062,0.8
Region,DIESEL_OHF,2063,0.8
Region,DIESEL_OHF,2064,0.8
Region,DIESEL_OHF,2065,0.8
Region,HFO_BKPS,2015,0.8
Region,HFO_BKPS,2016,0.8
Region,HFO_BKPS,2017,0.8
Region,HFO_BKPS,2018,0.8
Region,HFO_BKPS,2019,0.8
Region,HFO_BKPS,2020,0.8
Region,HFO_BKPS,2021,0.8
Region,HFO_BKPS,2022,0.8
Region,HFO_BKPS,2023,0.8
Region,HFO_BKPS,2024,0.8
Region,HFO_BKPS,2025,0.8
Region,HFO_BKPS,2026,0.8
Region,HFO_BKPS,2027,0.8
Region,HFO_BKPS,2028,0.8
Region,HFO_BKPS,2029,0.8
Region,HFO_BKPS,2030,0.8
Region,HFO_BKPS,2031,0.8
Region,HFO_BKPS,2032,0.8
Region,HFO_BKPS,2033,0.8
Region,HFO_BKPS,2034,0.8
Region,HFO_BKPS,2035,0.8
Region,HFO_BKPS,2036,0.8
Region,HFO_BKPS,2037,0.8
Region,HFO_BKPS,2038,0.8
Region,HFO_BKPS,2039,0.8
Region,HFO_BKPS,2040,0.8
Region,HFO_BKPS,2041,0.8
Region,HFO_BKPS,2042,0.8
Region,HFO_BKPS,2043,0.8
Region,HFO_BKPS,2044,0.8
Region,HFO_BKPS,2045,0.8
Region,HFO_BKPS,2046,0.8
Region,HFO_BKPS,2047,0.8
Region,HFO_BKPS,2048,0.8
Region,HFO_BKPS,2049,0.8
Region,HFO_BKPS,2050,0.8
Region,HFO_BKPS,2051,0.8
Region,HFO_BKPS,2052,0.8
Region,HFO_BKPS,2053,0.8
Region,HFO_BKPS,2054,0.8
Region,HFO_BKPS,2055,0.8
Region,HFO_BKPS,2056,0.8
Region,HFO_BKPS,2057,0.8
Region,HFO_BKPS,2058,0.8
Region,HFO_BKPS,2059,0.8
Region,HFO_BKPS,2060,0.8
Region,HFO_BKPS,2061,0.8
Region,HFO_BKPS,2062,0.8
Region,HFO_BKPS,2063,0.8
Region,HFO_BKPS,2064,0.8
Region,HFO_BKPS,2065,0.8
Region,HFO_BLACKHALL,2015,0.8
Region,HFO_BLACKHALL,2016,0.8
Region,HFO_BLACKHALL,2017,0.8
Region,HFO_BLACKHALL,2018,0.8
Region,HFO_BLACKHALL,2019,0.8
