REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Region,BACKSTOP,DDD1,2015,0.1
Region,BACKSTOP,DDD1,2016,0.1
Region,BACKSTOP,DDD1,2017,0.1
Region,BACKSTOP,DDD1,2018,0.1
Region,BACKSTOP,DDD1,2019,0.1
Region,BACKSTOP,DDD1,2020,0.1
Region,BACKSTOP,DDD1,2021,0.1
Region,BACKSTOP,DDD1,2022,0.1
Region,BACKSTOP,DDD1,2023,0.1
Region,BACKSTOP,DDD1,2024,0.1
Region,BACKSTOP,DDD1,2025,0.1
Region,BACKSTOP,DDD1,2026,0.1
Region,BACKSTOP,DDD1,2027,0.1
Region,BACKSTOP,DDD1,2028,0.1
Region,BACKSTOP,DDD1,2029,0.1
Region,BACKSTOP,DDD1,2030,0.1
Region,BACKSTOP,DDD1,2031,0.1
Region,BACKSTOP,DDD1,2032,0.1
Region,BACKSTOP,DDD1,2033,0.1
Region,BACKSTOP,DDD1,2034,0.1
Region,BACKSTOP,DDD1,2035,0.1
Region,BACKSTOP,DDD1,2036,0.1
Region,BACKSTOP,DDD1,2037,0.1
Region,BACKSTOP,DDD1,2038,0.1
Region,BACKSTOP,DDD1,2039,0.1
Region,BACKSTOP,DDD1,2040,0.1
Region,BACKSTOP,DDD1,2041,0.1
Region,BACKSTOP,DDD1,2042,0.1
Region,BACKSTOP,DDD1,2043,0.1
Region,BACKSTOP,DDD1,2044,0.1
Region,BACKSTOP,DDD1,2045,0.1
Region,BACKSTOP,DDD1,2046,0.1
Region,BACKSTOP,DDD1,2047,0.1
Region,BACKSTOP,DDD1,2048,0.1
Region,BACKSTOP,DDD1,2049,0.1
Region,BACKSTOP,DDD1,2050,0.1
Region,BACKSTOP,DDD1,2051,0.1
Region,BACKSTOP,DDD1,2052,0.1
Region,BACKSTOP,DDD1,2053,0.1
Region,BACKSTOP,DDD1,2054,0.1
Region,BACKSTOP,DDD1,2055,0.1
Region,BACKSTOP,DDD1,2056,0.1
Region,BACKSTOP,DDD1,2057,0.1
Region,BACKSTOP,DDD1,2058,0.1
Region,BACKSTOP,DDD1,2059,0.1
Region,BACKSTOP,DDD1,2060,0.1
Region,BACKSTOP,DDD1,2061,0.1
Region,BACKSTOP,DDD1,2062,0.1
Region,BACKSTOP,DDD1,2063,0.1
Region,BACKSTOP,DDD1,2064,0.1
Region,BACKSTOP,DDD1,2065,0.1
Region,BACKSTOP,DDD2,2015,0.1
Region,BACKSTOP,DDD2,2016,0.1
Region,BACKSTOP,DDD2,2017,0.1
Region,BACKSTOP,DDD2,2018,0.1
Region,BACKSTOP,DDD2,2019,0.1
Region,BACKSTOP,DDD2,2020,0.1
Region,BACKSTOP,DDD2,2021,0.1
Region,BACKSTOP,DDD2,2022,0.1
Region,BACKSTOP,DDD2,2023,0.1
Region,BACKSTOP,DDD2,2024,0.1
Region,BACKSTOP,DDD2,2025,0.1
Region,BACKSTOP,DDD2,2026,0.1
Region,BACKSTOP,DDD2,2027,0.1
Region,BACKSTOP,DDD2,2028,0.1
