REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Region,BIOMASS_1,BI,1,2015,2.631578947
Region,BIOMASS_1,BI,1,2016,2.631578947
Region,BIOMASS_1,BI,1,2017,2.631578947
Region,BIOMASS_1,BI,1,2018,2.631578947
Region,BIOMASS_1,BI,1,2019,2.631578947
Region,BIOMASS_1,BI,1,2020,2.631578947
Region,BIOMASS_1,BI,1,2021,2.631578947
Region,BIOMASS_1,BI,1,2022,2.631578947
Region,BIOMASS_1,BI,1,2023,2.631578947
Region,BIOMASS_1,BI,1,2024,2.631578947
Region,BIOMASS_1,BI,1,2025,2.631578947
Region,BIOMASS_1,BI,1,2026,2.631578947
Region,BIOMASS_1,BI,1,2027,2.631578947
Region,BIOMASS_1,BI,1,2028,2.631578947
Region,BIOMASS_1,BI,1,2029,2.631578947
Region,BIOMASS_1,BI,1,2030,2.631578947
Region,BIOMASS_1,BI,1,2031,2.631578947
Region,BIOMASS_1,BI,1,2032,2.631578947
Region,BIOMASS_1,BI,1,2033,2.631578947
Region,BIOMASS_1,BI,1,2034,2.631578947
Region,BIOMASS_1,BI,1,2035,2.631578947
Region,BIOMASS_1,BI,1,2036,2.631578947
Region,BIOMASS_1,BI,1,2037,2.631578947
Region,BIOMASS_1,BI,1,2038,2.631578947
Region,BIOMASS_1,BI,1,2039,2.631578947
Region,BIOMASS_1,BI,1,2040,2.631578947
Region,BIOMASS_1,BI,1,2041,2.631578947
Region,BIOMASS_1,BI,1,2042,2.631578947
Region,BIOMASS_1,BI,1,2043,2.631578947
Region,BIOMASS_1,BI,1,2044,2.631578947
Region,BIOMASS_1,BI,1,2045,2.631578947
Region,BIOMASS_1,BI,1,2046,2.631578947
Region,BIOMASS_1,BI,1,2047,2.631578947
Region,BIOMASS_1,BI,1,2048,2.631578947
Region,BIOMASS_1,BI,1,2049,2.631578947
Region,BIOMASS_1,BI,1,2050,2.631578947
Region,BIOMASS_1,BI,1,2051,2.631578947
Region,BIOMASS_1,BI,1,2052,2.631578947
Region,BIOMASS_1,BI,1,2053,2.631578947
Region,BIOMASS_1,BI,1,2054,2.631578947
Region,BIOMASS_1,BI,1,2055,2.631578947
Region,BIOMASS_1,BI,1,2056,2.631578947
Region,BIOMASS_1,BI,1,2057,2.631578947
Region,BIOMASS_1,BI,1,2058,2.631578947
Region,BIOMASS_1,BI,1,2059,2.631578947
Region,BIOMASS_1,BI,1,2060,2.631578947
Region,BIOMASS_1,BI,1,2061,2.631578947
Region,BIOMASS_1,BI,1,2062,2.631578947
Region,BIOMASS_1,BI,1,2063,2.631578947
Region,BIOMASS_1,BI,1,2064,2.631578947
Region,BIOMASS_1,BI,1,2065,2.631578947
