REGION,TECHNOLOGY,YEAR,VALUE
SIERRALEONE,BIOGAS_PP,2015,0.5
SIERRALEONE,BIOGAS_PP,2016,0.5
SIERRALEONE,BIOGAS_PP,2017,0.5
SIERRALEONE,BIOGAS_PP,2018,0.5
SIERRALEONE,BIOGAS_PP,2019,0.5
SIERRALEONE,BIOGAS_PP,2020,0.5
SIERRALEONE,BIOGAS_PP,2021,0.5
SIERRALEONE,BIOGAS_PP,2022,0.5
SIERRALEONE,BIOGAS_PP,2023,0.5
SIERRALEONE,BIOGAS_PP,2024,0.5
SIERRALEONE,BIOGAS_PP,2025,0.5
SIERRALEONE,BIOGAS_PP,2026,0.5
SIERRALEONE,BIOGAS_PP,2027,0.5
SIERRALEONE,BIOGAS_PP,2028,0.5
SIERRALEONE,BIOGAS_PP,2029,0.5
SIERRALEONE,BIOGAS_PP,2030,0.5
SIERRALEONE,BIOGAS_PP,2031,0.5
SIERRALEONE,BIOGAS_PP,2032,0.5
SIERRALEONE,BIOGAS_PP,2033,0.5
SIERRALEONE,BIOGAS_PP,2034,0.5
SIERRALEONE,BIOGAS_PP,2035,0.5
SIERRALEONE,BIOGAS_PP,2036,0.5
SIERRALEONE,BIOGAS_PP,2037,0.5
SIERRALEONE,BIOGAS_PP,2038,0.5
SIERRALEONE,BIOGAS_PP,2039,0.5
SIERRALEONE,BIOGAS_PP,2040,0.5
SIERRALEONE,BIOGAS_PP,2041,0.5
SIERRALEONE,BIOGAS_PP,2042,0.5
SIERRALEONE,BIOGAS_PP,2043,0.5
SIERRALEONE,BIOGAS_PP,2044,0.5
SIERRALEONE,BIOGAS_PP,2045,0.5
SIERRALEONE,BIOGAS_PP,2046,0.5
SIERRALEONE,BIOGAS_PP,2047,0.5
SIERRALEONE,BIOGAS_PP,2048,0.5
SIERRALEONE,BIOGAS_PP,2049,0.5
SIERRALEONE,BIOGAS_PP,2050,0.5
SIERRALEONE,COAL_PP,2015,0.9
SIERRALEONE,COAL_PP,2016,0.9
SIERRALEONE,COAL_PP,2017,0.9
SIERRALEONE,COAL_PP,2018,0.9
SIERRALEONE,COAL_PP,2019,0.9
SIERRALEONE,COAL_PP,2020,0.9
SIERRALEONE,COAL_PP,2021,0.9
SIERRALEONE,COAL_PP,2022,0.9
SIERRALEONE,COAL_PP,2023,0.9
