REGION,TECHNOLOGY,YEAR,VALUE
Region,HY_BANKASOKA,2015,1.0
Region,HY_BANKASOKA,2016,1.0
Region,HY_BANKASOKA,2017,1.0
Region,HY_BANKASOKA,2018,1.0
Region,HY_BANKASOKA,2019,1.0
Region,HY_BANKASOKA,2020,1.0
Region,HY_BANKASOKA,2021,1.0
Region,HY_BANKASOKA,2022,1.0
Region,HY_BANKASOKA,2023,1.0
Region,HY_BANKASOKA,2024,1.0
Region,HY_BANKASOKA,2025,1.0
Region,HY_BANKASOKA,2026,1.0
Region,HY_BANKASOKA,2027,1.0
Region,HY_BANKASOKA,2028,1.0
Region,HY_BANKASOKA,2029,1.0
Region,HY_BANKASOKA,2030,1.0
Region,HY_BANKASOKA,2031,1.0
Region,HY_BANKASOKA,2032,1.0
Region,HY_BANKASOKA,2033,1.0
Region,HY_BANKASOKA,2034,1.0
Region,HY_BANKASOKA,2035,1.0
Region,HY_BANKASOKA,2036,1.0
Region,HY_BANKASOKA,2037,1.0
Region,HY_BANKASOKA,2038,1.0
Region,HY_BANKASOKA,2039,1.0
Region,HY_BANKASOKA,2040,1.0
Region,HY_BANKASOKA,2041,1.0
Region,HY_BANKASOKA,2042,1.0
Region,HY_BANKASOKA,2043,1.0
Region,HY_BANKASOKA,2044,1.0
Region,HY_BANKASOKA,2045,1.0
Region,HY_BANKASOKA,2046,1.0
Region,HY_BANKASOKA,2047,1.0
Region,HY_BANKASOKA,2048,1.0
Region,HY_BANKASOKA,2049,1.0
Region,HY_BANKASOKA,2050,1.0
Region,HY_BANKASOKA,2051,1.0
Region,HY_BANKASOKA,2052,1.0
Region,HY_BANKASOKA,2053,1.0
Region,HY_BANKASOKA,2054,1.0
Region,HY_BANKASOKA,2055,1.0
Region,HY_BANKASOKA,2056,1.0
Region,HY_BANKASOKA,2057,1.0
Region,HY_BANKASOKA,2058,1.0
Region,HY_BANKASOKA,2059,1.0
Region,HY_BANKASOKA,2060,1.0
Region,HY_BANKASOKA,2061,1.0
Region,HY_BANKASOKA,2062,1.0
Region,HY_BANKASOKA,2063,1.0
Region,HY_BANKASOKA,2064,1.0
Region,HY_BANKASOKA,2065,1.0
Region,HY_BENKONGOR1,2015,1.0
Region,HY_BENKONGOR1,2016,1.0
Region,HY_BENKONGOR1,2017,1.0
Region,HY_BENKONGOR1,2018,1.0
Region,HY_BENKONGOR1,2019,1.0
Region,HY_BENKONGOR1,2020,1.0
Region,HY_BENKONGOR1,2021,1.0
Region,HY_BENKONGOR1,2022,1.0
Region,HY_BENKONGOR1,2023,1.0
Region,HY_BENKONGOR1,2024,1.0
Region,HY_BENKONGOR1,2025,1.0
Region,HY_BENKONGOR1,2026,1.0
Region,HY_BENKONGOR1,2027,1.0
Region,HY_BENKONGOR1,2028,1.0
Region,HY_BENKONGOR1,2029,1.0
Region,HY_BENKONGOR1,2030,1.0
Region,HY_BENKONGOR1,2031,1.0
Region,HY_BENKONGOR1,2032,1.0
Region,HY_BENKONGOR1,2033,1.0
Region,HY_BENKONGOR1,2034,1.0
Region,HY_BENKONGOR1,2035,1.0
Region,HY_BENKONGOR1,2036,1.0
Region,HY_BENKONGOR1,2037,1.0
Region,HY_BENKONGOR1,2038,1.0
Region,HY_BENKONGOR1,2039,1.0
Region,HY_BENKONGOR1,2040,1.0
Region,HY_BENKONGOR1,2041,1.0
Region,HY_BENKONGOR1,2042,1.0
Region,HY_BENKONGOR1,2043,1.0
Region,HY_BENKONGOR1,2044,1.0
Region,HY_BENKONGOR1,2045,1.0
Region,HY_BENKONGOR1,2046,1.0
Region,HY_BENKONGOR1,2047,1.0
Region,HY_BENKONGOR1,2048,1.0
Region,HY_BENKONGOR1,2049,1.0
Region,HY_BENKONGOR1,2050,1.0
Region,HY_BENKONGOR1,2051,1.0
