REGION,TECHNOLOGY,YEAR,VALUE
SIERRALEONE,BIOGAS_PP,2015,0.015
SIERRALEONE,BIOGAS_PP,2016,0.015
SIERRALEONE,BIOGAS_PP,2017,0.015
SIERRALEONE,BIOGAS_PP,2018,0.015
SIERRALEONE,BIOGAS_PP,2019,0.017
SIERRALEONE,BIOGAS_PP,2020,0.032
SIERRALEONE,BIOGAS_PP,2021,0.041
SIERRALEONE,BIOGAS_PP,2022,0.043
SIERRALEONE,BIOGAS_PP,2023,0.044
SIERRALEONE,BIOGAS_PP,2024,0.05
SIERRALEONE,BIOGAS_PP,2025,0.055
SIERRALEONE,BIOGAS_PP,2026,0.057
SIERRALEONE,BIOGAS_PP,2027,0.061
SIERRALEONE,BIOGAS_PP,2028,0.063
SIERRALEONE,BIOGAS_PP,2029,0.065
SIERRALEONE,BIOGAS_PP,2030,0.068
SIERRALEONE,BIOGAS_PP,2031,0.096833333
SIERRALEONE,BIOGAS_PP,2032,0.115
SIERRALEONE,BIOGAS_PP,2033,0.115
SIERRALEONE,BIOGAS_PP,2034,0.115
SIERRALEONE,BIOGAS_PP,2035,0.115
SIERRALEONE,BIOGAS_PP,2036,0.115
SIERRALEONE,BIOGAS_PP,2037,0.115
SIERRALEONE,BIOGAS_PP,2038,0.115
SIERRALEONE,BIOGAS_PP,2039,0.115
SIERRALEONE,BIOGAS_PP,2040,0.115
SIERRALEONE,BIOGAS_PP,2041,0.115
SIERRALEONE,BIOGAS_PP,2042,0.115
SIERRALEONE,BIOGAS_PP,2043,0.115
SIERRALEONE,BIOGAS_PP,2044,0.115
SIERRALEONE,BIOGAS_PP,2045,0.115
SIERRALEONE,BIOGAS_PP,2046,0.115
SIERRALEONE,BIOGAS_PP,2047,0.115
SIERRALEONE,BIOGAS_PP,2048,0.115
SIERRALEONE,BIOGAS_PP,2049,0.115
SIERRALEONE,BIOGAS_PP,2050,0.115
SIERRALEONE,HDRO_DAM_PP,2015,0.05
SIERRALEONE,HDRO_DAM_PP,2016,0.05
SIERRALEONE,HDRO_DAM_PP,2017,0.05
SIERRALEONE,HDRO_DAM_PP,2018,0.05
SIERRALEONE,HDRO_DAM_PP,2019,0.05
SIERRALEONE,HDRO_DAM_PP,2020,0.05
SIERRALEONE,HDRO_DAM_PP,2021,0.05
SIERRALEONE,HDRO_DAM_PP,2022,0.05
SIERRALEONE,HDRO_DAM_PP,2023,0.05
SIERRALEONE,HDRO_DAM_PP,2024,0.05
SIERRALEONE,HDRO_DAM_PP,2025,0.05
SIERRALEONE,HDRO_DAM_PP,2026,0.09
SIERRALEONE,HDRO_DAM_PP,2027,0.09
SIERRALEONE,HDRO_DAM_PP,2028,0.09
SIERRALEONE,HDRO_DAM_PP,2029,0.18
SIERRALEONE,HDRO_DAM_PP,2030,0.18
SIERRALEONE,HDRO_DAM_PP,2031,0.275
SIERRALEONE,HDRO_DAM_PP,2032,0.275
SIERRALEONE,HDRO_DAM_PP,2033,0.31
SIERRALEONE,HDRO_DAM_PP,2034,0.31
SIERRALEONE,HDRO_DAM_PP,2035,0.476
SIERRALEONE,HDRO_DAM_PP,2036,0.476
SIERRALEONE,HDRO_DAM_PP,2037,0.755
SIERRALEONE,HDRO_DAM_PP,2038,0.755
SIERRALEONE,HDRO_DAM_PP,2039,0.755
SIERRALEONE,HDRO_DAM_PP,2040,0.755
SIERRALEONE,HDRO_DAM_PP,2041,0.755
SIERRALEONE,HDRO_DAM_PP,2042,0.755
SIERRALEONE,HDRO_DAM_PP,2043,0.755
SIERRALEONE,HDRO_DAM_PP,2044,0.755
SIERRALEONE,HDRO_DAM_PP,2045,0.755
SIERRALEONE,HDRO_DAM_PP,2046,0.755
SIERRALEONE,HDRO_DAM_PP,2047,0.755
SIERRALEONE,HDRO_DAM_PP,2048,0.755
SIERRALEONE,HDRO_DAM_PP,2049,0.755
SIERRALEONE,HDRO_DAM_PP,2050,0.755
SIERRALEONE,HYDRO_PP,2015,0.006
SIERRALEONE,HYDRO_PP,2016,0.006
SIERRALEONE,HYDRO_PP,2017,0.006
SIERRALEONE,HYDRO_PP,2018,0.006
SIERRALEONE,HYDRO_PP,2019,0.006
SIERRALEONE,HYDRO_PP,2020,0.006
SIERRALEONE,HYDRO_PP,2021,0.026
SIERRALEONE,HYDRO_PP,2022,0.026
SIERRALEONE,HYDRO_PP,2023,0.026
SIERRALEONE,HYDRO_PP,2024,0.026
SIERRALEONE,HYDRO_PP,2025,0.026
SIERRALEONE,HYDRO_PP,2026,0.026
SIERRALEONE,HYDRO_PP,2027,0.026
SIERRALEONE,HYDRO_PP,2028,0.026
SIERRALEONE,HYDRO_PP,2029,0.026
SIERRALEONE,HYDRO_PP,2030,0.026
SIERRALEONE,HYDRO_PP,2031,0.026
SIERRALEONE,HYDRO_PP,2032,0.026
SIERRALEONE,HYDRO_PP,2033,0.026
SIERRALEONE,HYDRO_PP,2034,0.026
SIERRALEONE,HYDRO_PP,2035,0.026
SIERRALEONE,HYDRO_PP,2036,0.026
SIERRALEONE,HYDRO_PP,2037,0.026
SIERRALEONE,HYDRO_PP,2038,0.026
SIERRALEONE,HYDRO_PP,2039,0.026
SIERRALEONE,HYDRO_PP,2040,0.026
SIERRALEONE,HYDRO_PP,2041,0.026
SIERRALEONE,HYDRO_PP,2042,0.026
SIERRALEONE,HYDRO_PP,2043,0.026
SIERRALEONE,HYDRO_PP,2044,0.026
SIERRALEONE,HYDRO_PP,2045,0.026
SIERRALEONE,HYDRO_PP,2046,0.026
SIERRALEONE,HYDRO_PP,2047,0.026
SIERRALEONE,HYDRO_PP,2048,0.026
SIERRALEONE,HYDRO_PP,2049,0.026
SIERRALEONE,HYDRO_PP,2050,0.026
SIERRALEONE,RIVER,2015,10.0
SIERRALEONE,RIVER,2016,10.0
SIERRALEONE,RIVER,2017,10.0
SIERRALEONE,RIVER,2018,10.0
SIERRALEONE,RIVER,2019,10.0
SIERRALEONE,RIVER,2020,10.0
SIERRALEONE,RIVER,2021,10.0
SIERRALEONE,RIVER,2022,10.0
SIERRALEONE,RIVER,2023,10.0
SIERRALEONE,RIVER,2024,10.0
SIERRALEONE,RIVER,2025,10.0
SIERRALEONE,RIVER,2026,10.0
SIERRALEONE,RIVER,2027,10.0
SIERRALEONE,RIVER,2028,10.0
SIERRALEONE,RIVER,2029,10.0
SIERRALEONE,RIVER,2030,10.0
SIERRALEONE,RIVER,2031,10.0
SIERRALEONE,RIVER,2032,10.0
SIERRALEONE,RIVER,2033,10.0
SIERRALEONE,RIVER,2034,10.0
SIERRALEONE,RIVER,2035,10.0
SIERRALEONE,RIVER,2036,10.0
SIERRALEONE,RIVER,2037,10.0
SIERRALEONE,RIVER,2038,10.0
SIERRALEONE,RIVER,2039,10.0
SIERRALEONE,RIVER,2040,10.0
SIERRALEONE,RIVER,2041,10.0
SIERRALEONE,RIVER,2042,10.0
SIERRALEONE,RIVER,2043,10.0
SIERRALEONE,RIVER,2044,10.0
SIERRALEONE,RIVER,2045,10.0
SIERRALEONE,RIVER,2046,10.0
SIERRALEONE,RIVER,2047,10.0
SIERRALEONE,RIVER,2048,10.0
SIERRALEONE,RIVER,2049,10.0
SIERRALEONE,RIVER,2050,10.0
SIERRALEONE,WIND_PP,2015,0.0
SIERRALEONE,WIND_PP,2016,0.0
SIERRALEONE,WIND_PP,2017,0.0
SIERRALEONE,WIND_PP,2018,0.0
SIERRALEONE,WIND_PP,2019,0.0
SIERRALEONE,WIND_PP,2020,99999.0
SIERRALEONE,WIND_PP,2021,99999.0
SIERRALEONE,WIND_PP,2022,99999.0
SIERRALEONE,WIND_PP,2023,99999.0
SIERRALEONE,WIND_PP,2024,99999.0
SIERRALEONE,WIND_PP,2025,99999.0
SIERRALEONE,WIND_PP,2026,99999.0
SIERRALEONE,WIND_PP,2027,99999.0
SIERRALEONE,WIND_PP,2028,99999.0
SIERRALEONE,WIND_PP,2029,99999.0
SIERRALEONE,WIND_PP,2030,99999.0
SIERRALEONE,WIND_PP,2031,99999.0
SIERRALEONE,WIND_PP,2032,99999.0
SIERRALEONE,WIND_PP,2033,99999.0
SIERRALEONE,WIND_PP,2034,99999.0
SIERRALEONE,WIND_PP,2035,99999.0
SIERRALEONE,WIND_PP,2036,99999.0
SIERRALEONE,WIND_PP,2037,99999.0
SIERRALEONE,WIND_PP,2038,99999.0
SIERRALEONE,WIND_PP,2039,99999.0
SIERRALEONE,WIND_PP,2040,99999.0
SIERRALEONE,WIND_PP,2041,99999.0
SIERRALEONE,WIND_PP,2042,99999.0
SIERRALEONE,WIND_PP,2043,99999.0
SIERRALEONE,WIND_PP,2044,99999.0
SIERRALEONE,WIND_PP,2045,99999.0
SIERRALEONE,WIND_PP,2046,99999.0
SIERRALEONE,WIND_PP,2047,99999.0
SIERRALEONE,WIND_PP,2048,99999.0
SIERRALEONE,WIND_PP,2049,99999.0
SIERRALEONE,WIND_PP,2050,99999.0
