REGION,TECHNOLOGY,VALUE
SIERRALEONE,Backstop1,1.0
SIERRALEONE,BIOGAS_PP,31.536
SIERRALEONE,COAL_PP,31.536
SIERRALEONE,DIESEL_PP,31.536
SIERRALEONE,DIS_SOLPV,31.536
SIERRALEONE,GAS_PP,31.536
SIERRALEONE,HDRO_DAM_PP,31.536
SIERRALEONE,HFO_PP,31.536
SIERRALEONE,HYDRO_PP,31.536
SIERRALEONE,IMP_COAL,1.0
SIERRALEONE,IMP_DIESEL,1.0
SIERRALEONE,IMP_ELEC,1.0
SIERRALEONE,IMP_GAS,1.0
SIERRALEONE,IMP_HFO,1.0
SIERRALEONE,PROD_BIOGAS,1.0
SIERRALEONE,RIVER,1.0
SIERRALEONE,SOLPV_PP,31.536
SIERRALEONE,TD,31.536
SIERRALEONE,WIND_PP,31.536
