REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
SIERRALEONE,COAL_PP,CO2,1,2015,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2016,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2017,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2018,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2019,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2020,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2021,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2022,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2023,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2024,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2025,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2026,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2027,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2028,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2029,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2030,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2031,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2032,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2033,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2034,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2035,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2036,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2037,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2038,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2039,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2040,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2041,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2042,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2043,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2044,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2045,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2046,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2047,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2048,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2049,0.090535492
SIERRALEONE,COAL_PP,CO2,1,2050,0.090535492
SIERRALEONE,DIESEL_PP,CO2,1,2015,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2016,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2017,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2018,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2019,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2020,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2021,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2022,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2023,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2024,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2025,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2026,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2027,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2028,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2029,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2030,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2031,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2032,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2033,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2034,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2035,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2036,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2037,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2038,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2039,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2040,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2041,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2042,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2043,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2044,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2045,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2046,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2047,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2048,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2049,0.069346518
SIERRALEONE,DIESEL_PP,CO2,1,2050,0.069346518
SIERRALEONE,GAS_PP,CO2,1,2015,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2016,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2017,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2018,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2019,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2020,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2021,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2022,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2023,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2024,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2025,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2026,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2027,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2028,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2029,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2030,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2031,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2032,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2033,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2034,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2035,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2036,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2037,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2038,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2039,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2040,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2041,0.050291177
SIERRALEONE,GAS_PP,CO2,1,2042,0.050291177
