REGION,TECHNOLOGY,YEAR,VALUE
SIERRALEONE,BIOGAS_PP,2015,0.008
SIERRALEONE,BIOGAS_PP,2016,0.008
SIERRALEONE,BIOGAS_PP,2017,0.008
SIERRALEONE,BIOGAS_PP,2018,0.008
SIERRALEONE,BIOGAS_PP,2019,0.008
SIERRALEONE,BIOGAS_PP,2020,0.008
SIERRALEONE,BIOGAS_PP,2021,0.008
SIERRALEONE,BIOGAS_PP,2022,0.008
SIERRALEONE,BIOGAS_PP,2023,0.008
SIERRALEONE,BIOGAS_PP,2024,0.008
SIERRALEONE,BIOGAS_PP,2025,0.008
SIERRALEONE,BIOGAS_PP,2026,0.008
SIERRALEONE,BIOGAS_PP,2027,0.008
SIERRALEONE,BIOGAS_PP,2028,0.008
SIERRALEONE,BIOGAS_PP,2029,0.008
SIERRALEONE,BIOGAS_PP,2030,0.008
SIERRALEONE,BIOGAS_PP,2031,0.008
SIERRALEONE,BIOGAS_PP,2032,0.008
SIERRALEONE,BIOGAS_PP,2033,0.008
SIERRALEONE,BIOGAS_PP,2034,0.008
SIERRALEONE,BIOGAS_PP,2035,0.008
SIERRALEONE,BIOGAS_PP,2036,0.008
SIERRALEONE,BIOGAS_PP,2037,0.008
SIERRALEONE,BIOGAS_PP,2038,0.008
SIERRALEONE,BIOGAS_PP,2039,0.008
SIERRALEONE,BIOGAS_PP,2040,0.008
SIERRALEONE,BIOGAS_PP,2041,0.008
SIERRALEONE,BIOGAS_PP,2042,0.008
SIERRALEONE,BIOGAS_PP,2043,0.008
SIERRALEONE,BIOGAS_PP,2044,0.008
SIERRALEONE,BIOGAS_PP,2045,0.008
SIERRALEONE,BIOGAS_PP,2046,0.008
SIERRALEONE,BIOGAS_PP,2047,0.008
SIERRALEONE,BIOGAS_PP,2048,0.008
SIERRALEONE,BIOGAS_PP,2049,0.008
SIERRALEONE,BIOGAS_PP,2050,0.008
SIERRALEONE,DIESEL_PP,2015,0.021
SIERRALEONE,DIESEL_PP,2016,0.021
SIERRALEONE,DIESEL_PP,2017,0.021
SIERRALEONE,DIESEL_PP,2018,0.021
SIERRALEONE,DIESEL_PP,2019,0.021
SIERRALEONE,DIESEL_PP,2020,0.021
SIERRALEONE,DIESEL_PP,2021,0.021
SIERRALEONE,DIESEL_PP,2022,0.021
SIERRALEONE,DIESEL_PP,2023,0.021
SIERRALEONE,DIESEL_PP,2024,0.021
SIERRALEONE,DIESEL_PP,2025,0.021
SIERRALEONE,DIESEL_PP,2026,0.021
SIERRALEONE,DIESEL_PP,2027,0.021
SIERRALEONE,DIESEL_PP,2028,0.021
SIERRALEONE,DIESEL_PP,2029,0.021
SIERRALEONE,DIESEL_PP,2030,0.021
SIERRALEONE,DIESEL_PP,2031,0.021
SIERRALEONE,DIESEL_PP,2032,0.021
SIERRALEONE,DIESEL_PP,2033,0.021
SIERRALEONE,DIESEL_PP,2034,0.021
SIERRALEONE,DIESEL_PP,2035,0.021
SIERRALEONE,DIESEL_PP,2036,0.021
SIERRALEONE,DIESEL_PP,2037,0.021
SIERRALEONE,DIESEL_PP,2038,0.021
SIERRALEONE,DIESEL_PP,2039,0.021
SIERRALEONE,DIESEL_PP,2040,0.021
SIERRALEONE,DIESEL_PP,2041,0.021
SIERRALEONE,DIESEL_PP,2042,0.021
SIERRALEONE,DIESEL_PP,2043,0.021
SIERRALEONE,DIESEL_PP,2044,0.021
