TIMESLICE,YEAR,VALUE
S1D1,2015,0.1207
S1D1,2016,0.1207
S1D1,2017,0.1207
S1D1,2018,0.1207
S1D1,2019,0.1207
S1D1,2020,0.1207
S1D1,2021,0.1207
S1D1,2022,0.1207
S1D1,2023,0.1207
S1D1,2024,0.1207
S1D1,2025,0.1207
S1D1,2026,0.1207
S1D1,2027,0.1207
S1D1,2028,0.1207
S1D1,2029,0.1207
S1D1,2030,0.1207
S1D1,2031,0.1207
S1D1,2032,0.1207
S1D1,2033,0.1207
S1D1,2034,0.1207
S1D1,2035,0.1207
S1D1,2036,0.1207
S1D1,2037,0.1207
S1D1,2038,0.1207
S1D1,2039,0.1207
S1D1,2040,0.1207
S1D1,2041,0.1207
S1D1,2042,0.1207
S1D1,2043,0.1207
S1D1,2044,0.1207
S1D1,2045,0.1207
S1D1,2046,0.1207
S1D1,2047,0.1207
S1D1,2048,0.1207
S1D1,2049,0.1207
S1D1,2050,0.1207
S1D2,2015,0.1896
S1D2,2016,0.1896
S1D2,2017,0.1896
S1D2,2018,0.1896
S1D2,2019,0.1896
S1D2,2020,0.1896
S1D2,2021,0.1896
S1D2,2022,0.1896
S1D2,2023,0.1896
S1D2,2024,0.1896
S1D2,2025,0.1896
S1D2,2026,0.1896
S1D2,2027,0.1896
S1D2,2028,0.1896
S1D2,2029,0.1896
S1D2,2030,0.1896
S1D2,2031,0.1896
S1D2,2032,0.1896
S1D2,2033,0.1896
S1D2,2034,0.1896
S1D2,2035,0.1896
S1D2,2036,0.1896
S1D2,2037,0.1896
S1D2,2038,0.1896
S1D2,2039,0.1896
S1D2,2040,0.1896
S1D2,2041,0.1896
S1D2,2042,0.1896
S1D2,2043,0.1896
S1D2,2044,0.1896
S1D2,2045,0.1896
S1D2,2046,0.1896
S1D2,2047,0.1896
S1D2,2048,0.1896
S1D2,2049,0.1896
S1D2,2050,0.1896
S1D3,2015,0.1034
S1D3,2016,0.1034
S1D3,2017,0.1034
S1D3,2018,0.1034
S1D3,2019,0.1034
S1D3,2020,0.1034
S1D3,2021,0.1034
S1D3,2022,0.1034
S1D3,2023,0.1034
S1D3,2024,0.1034
S1D3,2025,0.1034
S1D3,2026,0.1034
S1D3,2027,0.1034
S1D3,2028,0.1034
S1D3,2029,0.1034
S1D3,2030,0.1034
S1D3,2031,0.1034
S1D3,2032,0.1034
S1D3,2033,0.1034
S1D3,2034,0.1034
S1D3,2035,0.1034
S1D3,2036,0.1034
S1D3,2037,0.1034
S1D3,2038,0.1034
S1D3,2039,0.1034
S1D3,2040,0.1034
S1D3,2041,0.1034
S1D3,2042,0.1034
S1D3,2043,0.1034
S1D3,2044,0.1034
S1D3,2045,0.1034
S1D3,2046,0.1034
S1D3,2047,0.1034
S1D3,2048,0.1034
S1D3,2049,0.1034
S1D3,2050,0.1034
S2D1,2015,0.171
S2D1,2016,0.171
S2D1,2017,0.171
S2D1,2018,0.171
S2D1,2019,0.171
S2D1,2020,0.171
S2D1,2021,0.171
S2D1,2022,0.171
S2D1,2023,0.171
S2D1,2024,0.171
S2D1,2025,0.171
S2D1,2026,0.171
S2D1,2027,0.171
S2D1,2028,0.171
S2D1,2029,0.171
S2D1,2030,0.171
S2D1,2031,0.171
S2D1,2032,0.171
S2D1,2033,0.171
S2D1,2034,0.171
S2D1,2035,0.171
S2D1,2036,0.171
S2D1,2037,0.171
S2D1,2038,0.171
S2D1,2039,0.171
S2D1,2040,0.171
S2D1,2041,0.171
S2D1,2042,0.171
S2D1,2043,0.171
S2D1,2044,0.171
S2D1,2045,0.171
S2D1,2046,0.171
S2D1,2047,0.171
S2D1,2048,0.171
S2D1,2049,0.171
S2D1,2050,0.171
S2D2,2015,0.2687
S2D2,2016,0.2687
S2D2,2017,0.2687
S2D2,2018,0.2687
S2D2,2019,0.2687
S2D2,2020,0.2687
S2D2,2021,0.2687
S2D2,2022,0.2687
S2D2,2023,0.2687
S2D2,2024,0.2687
S2D2,2025,0.2687
S2D2,2026,0.2687
S2D2,2027,0.2687
S2D2,2028,0.2687
S2D2,2029,0.2687
S2D2,2030,0.2687
S2D2,2031,0.2687
S2D2,2032,0.2687
S2D2,2033,0.2687
S2D2,2034,0.2687
S2D2,2035,0.2687
S2D2,2036,0.2687
S2D2,2037,0.2687
S2D2,2038,0.2687
S2D2,2039,0.2687
S2D2,2040,0.2687
S2D2,2041,0.2687
S2D2,2042,0.2687
S2D2,2043,0.2687
S2D2,2044,0.2687
S2D2,2045,0.2687
S2D2,2046,0.2687
S2D2,2047,0.2687
S2D2,2048,0.2687
S2D2,2049,0.2687
S2D2,2050,0.2687
S2D3,2015,0.1466
S2D3,2016,0.1466
S2D3,2017,0.1466
S2D3,2018,0.1466
S2D3,2019,0.1466
S2D3,2020,0.1466
S2D3,2021,0.1466
S2D3,2022,0.1466
S2D3,2023,0.1466
S2D3,2024,0.1466
S2D3,2025,0.1466
S2D3,2026,0.1466
S2D3,2027,0.1466
S2D3,2028,0.1466
S2D3,2029,0.1466
S2D3,2030,0.1466
S2D3,2031,0.1466
S2D3,2032,0.1466
S2D3,2033,0.1466
S2D3,2034,0.1466
S2D3,2035,0.1466
S2D3,2036,0.1466
S2D3,2037,0.1466
S2D3,2038,0.1466
S2D3,2039,0.1466
S2D3,2040,0.1466
S2D3,2041,0.1466
S2D3,2042,0.1466
S2D3,2043,0.1466
S2D3,2044,0.1466
S2D3,2045,0.1466
S2D3,2046,0.1466
S2D3,2047,0.1466
S2D3,2048,0.1466
S2D3,2049,0.1466
S2D3,2050,0.1466
