REGION,FUEL,YEAR,VALUE
UGANDA,RESELC01,2018,11.78
UGANDA,RESELC01,2019,12.37
UGANDA,RESELC01,2020,12.99
UGANDA,RESELC01,2021,13.63
UGANDA,RESELC01,2022,14.32
UGANDA,RESELC01,2023,15.03
UGANDA,RESELC01,2024,15.78
UGANDA,RESELC01,2025,16.57
UGANDA,RESELC01,2026,17.4
UGANDA,RESELC01,2027,18.27
UGANDA,RESELC01,2028,19.19
UGANDA,RESELC01,2029,20.15
UGANDA,RESELC01,2030,21.15
UGANDA,RESELC01,2031,22.21
UGANDA,RESELC01,2032,23.32
UGANDA,RESELC01,2033,24.49
UGANDA,RESELC01,2034,25.71
UGANDA,RESELC01,2035,27.0
UGANDA,RESELC01,2036,28.35
UGANDA,RESELC01,2037,29.76
UGANDA,RESELC01,2038,31.25
UGANDA,RESELC01,2039,32.81
UGANDA,RESELC01,2040,34.45
