REGION,TECHNOLOGY,YEAR,VALUE
UGANDA,BACKSTOP01,2018,999999.0
UGANDA,BACKSTOP01,2019,999999.0
UGANDA,BACKSTOP01,2020,999999.0
UGANDA,BACKSTOP01,2021,999999.0
UGANDA,BACKSTOP01,2022,999999.0
UGANDA,BACKSTOP01,2023,999999.0
UGANDA,BACKSTOP01,2024,999999.0
UGANDA,BACKSTOP01,2025,999999.0
UGANDA,BACKSTOP01,2026,999999.0
UGANDA,BACKSTOP01,2027,999999.0
UGANDA,BACKSTOP01,2028,999999.0
UGANDA,BACKSTOP01,2029,999999.0
UGANDA,BACKSTOP01,2030,999999.0
UGANDA,BACKSTOP01,2031,999999.0
UGANDA,BACKSTOP01,2032,999999.0
UGANDA,BACKSTOP01,2033,999999.0
UGANDA,BACKSTOP01,2034,999999.0
UGANDA,BACKSTOP01,2035,999999.0
UGANDA,BACKSTOP01,2036,999999.0
UGANDA,BACKSTOP01,2037,999999.0
UGANDA,BACKSTOP01,2038,999999.0
UGANDA,BACKSTOP01,2039,999999.0
UGANDA,BACKSTOP01,2040,999999.0
UGANDA,CHP,2018,3660.0
UGANDA,CHP,2019,3660.0
UGANDA,CHP,2020,3660.0
UGANDA,CHP,2021,3660.0
UGANDA,CHP,2022,3660.0
UGANDA,CHP,2023,3660.0
UGANDA,CHP,2024,3660.0
UGANDA,CHP,2025,3660.0
UGANDA,CHP,2026,3660.0
UGANDA,CHP,2027,3660.0
UGANDA,CHP,2028,3660.0
UGANDA,CHP,2029,3660.0
UGANDA,CHP,2030,3660.0
UGANDA,CHP,2031,3660.0
UGANDA,CHP,2032,3660.0
UGANDA,CHP,2033,3660.0
UGANDA,CHP,2034,3660.0
UGANDA,CHP,2035,3660.0
UGANDA,CHP,2036,3660.0
UGANDA,CHP,2037,3660.0
UGANDA,CHP,2038,3660.0
UGANDA,CHP,2039,3660.0
UGANDA,CHP,2040,3660.0
UGANDA,PWRDSL001,2018,1177.0
UGANDA,PWRDSL001,2019,1177.0
UGANDA,PWRDSL001,2020,1177.0
UGANDA,PWRDSL001,2021,1177.0
UGANDA,PWRDSL001,2022,1177.0
UGANDA,PWRDSL001,2023,1177.0
UGANDA,PWRDSL001,2024,1177.0
UGANDA,PWRDSL001,2025,1177.0
UGANDA,PWRDSL001,2026,1177.0
UGANDA,PWRDSL001,2027,1177.0
UGANDA,PWRDSL001,2028,1177.0
UGANDA,PWRDSL001,2029,1177.0
UGANDA,PWRDSL001,2030,1177.0
UGANDA,PWRDSL001,2031,1177.0
UGANDA,PWRDSL001,2032,1177.0
UGANDA,PWRDSL001,2033,1177.0
UGANDA,PWRDSL001,2034,1177.0
UGANDA,PWRDSL001,2035,1177.0
UGANDA,PWRDSL001,2036,1177.0
UGANDA,PWRDSL001,2037,1177.0
UGANDA,PWRDSL001,2038,1177.0
UGANDA,PWRDSL001,2039,1177.0
UGANDA,PWRDSL001,2040,1177.0
UGANDA,PWRGEO001,2018,5856.4
UGANDA,PWRGEO001,2019,5856.4
UGANDA,PWRGEO001,2020,5856.4
UGANDA,PWRGEO001,2021,5856.4
UGANDA,PWRGEO001,2022,5856.4
UGANDA,PWRGEO001,2023,5856.4
UGANDA,PWRGEO001,2024,5856.4
UGANDA,PWRGEO001,2025,5856.4
UGANDA,PWRGEO001,2026,5856.4
UGANDA,PWRGEO001,2027,5856.4
UGANDA,PWRGEO001,2028,5856.4
UGANDA,PWRGEO001,2029,5856.4
UGANDA,PWRGEO001,2030,5856.4
UGANDA,PWRGEO001,2031,5856.4
UGANDA,PWRGEO001,2032,5856.4
UGANDA,PWRGEO001,2033,5856.4
UGANDA,PWRGEO001,2034,5856.4
UGANDA,PWRGEO001,2035,5856.4
UGANDA,PWRGEO001,2036,5856.4
UGANDA,PWRGEO001,2037,5856.4
UGANDA,PWRGEO001,2038,5856.4
UGANDA,PWRGEO001,2039,5856.4
UGANDA,PWRGEO001,2040,5856.4
UGANDA,PWRHFOE01,2018,1633.5
UGANDA,PWRHFOE01,2019,1633.5
UGANDA,PWRHFOE01,2020,1633.5
UGANDA,PWRHFOE01,2021,1633.5
UGANDA,PWRHFOE01,2022,1633.5
UGANDA,PWRHFOE01,2023,1633.5
UGANDA,PWRHFOE01,2024,1633.5
UGANDA,PWRHFOE01,2025,1633.5
UGANDA,PWRHFOE01,2026,1633.5
UGANDA,PWRHFOE01,2027,1633.5
UGANDA,PWRHFOE01,2028,1633.5
UGANDA,PWRHFOE01,2029,1633.5
UGANDA,PWRHFOE01,2030,1633.5
UGANDA,PWRHFOE01,2031,1633.5
UGANDA,PWRHFOE01,2032,1633.5
UGANDA,PWRHFOE01,2033,1633.5
UGANDA,PWRHFOE01,2034,1633.5
UGANDA,PWRHFOE01,2035,1633.5
UGANDA,PWRHFOE01,2036,1633.5
UGANDA,PWRHFOE01,2037,1633.5
UGANDA,PWRHFOE01,2038,1633.5
UGANDA,PWRHFOE01,2039,1633.5
UGANDA,PWRHFOE01,2040,1633.5
UGANDA,PWRHYD001,2018,2552.5
UGANDA,PWRHYD001,2019,2552.5
UGANDA,PWRHYD001,2020,2552.5
UGANDA,PWRHYD001,2021,2552.5
UGANDA,PWRHYD001,2022,2552.5
UGANDA,PWRHYD001,2023,2552.5
UGANDA,PWRHYD001,2024,2552.5
UGANDA,PWRHYD001,2025,2552.5
UGANDA,PWRHYD001,2026,2552.5
UGANDA,PWRHYD001,2027,2552.5
UGANDA,PWRHYD001,2028,2552.5
UGANDA,PWRHYD001,2029,2552.5
UGANDA,PWRHYD001,2030,2552.5
UGANDA,PWRHYD001,2031,2552.5
UGANDA,PWRHYD001,2032,2552.5
UGANDA,PWRHYD001,2033,2552.5
UGANDA,PWRHYD001,2034,2552.5
UGANDA,PWRHYD001,2035,2552.5
UGANDA,PWRHYD001,2036,2552.5
UGANDA,PWRHYD001,2037,2552.5
UGANDA,PWRHYD001,2038,2552.5
UGANDA,PWRHYD001,2039,2552.5
UGANDA,PWRHYD001,2040,2552.5
UGANDA,PWRHYD002,2018,2552.5
UGANDA,PWRHYD002,2019,2552.5
UGANDA,PWRHYD002,2020,2552.5
UGANDA,PWRHYD002,2021,2552.5
UGANDA,PWRHYD002,2022,2552.5
UGANDA,PWRHYD002,2023,2552.5
UGANDA,PWRHYD002,2024,2552.5
UGANDA,PWRHYD002,2025,2552.5
UGANDA,PWRHYD002,2026,2552.5
UGANDA,PWRHYD002,2027,2552.5
UGANDA,PWRHYD002,2028,2552.5
UGANDA,PWRHYD002,2029,2552.5
UGANDA,PWRHYD002,2030,2552.5
UGANDA,PWRHYD002,2031,2552.5
UGANDA,PWRHYD002,2032,2552.5
UGANDA,PWRHYD002,2033,2552.5
UGANDA,PWRHYD002,2034,2552.5
UGANDA,PWRHYD002,2035,2552.5
UGANDA,PWRHYD002,2036,2552.5
UGANDA,PWRHYD002,2037,2552.5
UGANDA,PWRHYD002,2038,2552.5
UGANDA,PWRHYD002,2039,2552.5
UGANDA,PWRHYD002,2040,2552.5
UGANDA,PWRSOL001,2018,2000.0
